gene_id,G85_A0,G85_B0,G85_C0,SD_SA,SD_SB,SD_SC,SLAD_SA,SLAD_SB,SLAD_SC,SD_LA,SD_LB,SD_LC,SLAD_LA,SLAD_LB,SLAD_LC,SD_GA,SD_GB,SD_GC,527LA,527LB,527LC,527SA,527SB,527SC,847LA,847LB,847LC,847SA,847SB,847SC,G85_D0,G85_E0,G85_F0,1066SA,1066SB,1066SC,1128SA,1128SB,1128SC,85A0b_2,85B0b,85C0b,1066LAb,1066LBb,1066LCb,1128LAb,1128LBb,1128LCb,G2432SA,G2432SB,G2432SC,G2434SA,G2434SB,G2434SC,G2468SA,G2468SB,G2468SC,G2432LA,G2432LB,G2432LC,G2434LA,G2434LB,G2434LC,G2468LA,G2468LB,G2468LC,G2300SA,G2300SB,G2300SC,G85SGSA,G85SGSB,G85SGSC,G2300LA,G2300LB,G2300LC,G85SGLA,G85SGLB,G85SGLC,G2529SA,G2529SB,G2529SC,G2529SGSA,G2529SGSB,G2529SGSC,G2529LA,G2529LB,G2529LC,G2529SGLA,G2529SGLB,G2529SGLC
YAL002W,10.0979,10.1895,10.0489,10.0691,10.0406,9.9749,9.9832,9.9750,10.0364,10.1800,10.1916,10.1049,10.7252,10.6509,10.7765,9.8435,10.3202,9.9687,10.3401,10.3544,10.3550,10.0998,9.9679,10.0017,10.3538,10.1641,10.2556,10.1921,10.1953,10.1415,9.9853,9.8700,10.0976,9.6198,9.6358,9.7887,9.6237,9.5549,9.6233,10.3458,10.2749,10.0102,9.9388,10.0586,9.9970,9.7309,9.6623,9.9431,10.0462,9.6841,9.9345,9.9898,9.9915,9.9646,10.1694,10.0862,10.2658,10.0731,10.0426,10.0094,10.4814,10.5540,10.3734,10.4696,10.3803,10.4606,10.3640,10.3172,10.2153,9.7520,9.8566,9.9753,10.2477,10.2841,10.2630,10.7312,10.8671,10.4992,10.1131,10.1811,10.0230,9.9934,9.9042,9.8984,10.3660,10.2673,10.2057,10.0390,10.2172,10.1211
YAL005C,11.2518,11.3048,11.3298,10.5506,10.5924,12.0541,10.9536,11.1485,11.4209,11.4325,11.4862,11.8058,13.2778,13.5048,13.5823,10.7264,10.8659,11.4485,11.6964,11.8395,12.0290,11.5643,11.0356,11.2895,11.9531,12.0162,12.1515,11.7161,11.3181,11.7614,12.0897,12.0422,12.0928,11.5170,11.6800,11.2276,11.4738,11.6613,11.5478,12.8208,12.9628,12.5767,12.2788,12.2377,12.2769,12.5189,12.8187,13.2860,14.2832,13.0155,13.8803,13.7172,13.9509,14.0149,13.1978,14.0119,14.9873,13.5154,13.2463,13.1504,13.4266,13.2494,12.9884,11.7922,11.9547,11.9173,11.3734,10.8156,11.0987,13.0768,13.3378,13.3144,12.1695,12.2508,12.3271,14.9971,14.9560,15.0026,11.6426,10.5970,10.7487,12.7303,13.4932,12.5954,11.9923,12.0494,12.0755,13.7925,13.3792,13.4876
YAL009W,10.4652,10.4416,10.4415,10.4106,10.4723,10.5828,10.2291,10.2824,10.3882,10.4059,10.2280,10.3123,10.3792,10.5254,10.3549,10.0874,10.3221,10.4766,10.3169,10.1817,10.2433,10.4220,10.3305,10.4751,10.3394,10.3022,10.2116,10.4411,10.4865,10.4497,10.4360,10.5219,10.6577,10.3016,10.3033,10.4698,10.4535,10.4595,10.3786,10.4122,10.3827,10.3528,10.4264,10.3725,10.2843,10.2306,10.2167,10.5450,10.2923,10.1247,10.1526,10.1247,10.2256,10.2798,10.4122,10.3272,10.5166,10.1554,10.2019,10.2854,10.3387,10.3547,10.2460,10.3733,10.4703,10.4678,10.3707,10.4275,10.3949,9.9119,10.0160,10.1827,10.3319,10.3250,10.2129,10.2260,10.1895,10.1889,10.4381,10.3620,10.4566,10.0085,10.1006,10.1485,10.5032,10.5234,10.3571,9.9902,10.1232,10.0979
YAL011W,9.3455,9.5010,9.6520,10.0402,9.7556,9.5076,9.8474,9.8198,9.9017,9.5942,9.4943,9.4738,9.5519,9.1745,9.1007,10.5145,9.4024,9.1740,9.7296,9.4656,9.7406,9.9566,10.1050,9.6960,9.5745,9.4683,9.3904,9.7354,9.9563,9.7256,9.5927,9.3186,9.3518,9.6658,9.7713,9.7096,9.4114,9.6006,9.5462,9.5125,9.3686,9.2836,9.5225,9.6367,9.8789,9.6176,9.5887,8.8055,9.0201,9.3351,9.0501,9.2444,9.0260,8.9613,9.7090,9.4907,9.2680,9.2674,9.5634,9.3821,9.4499,9.3903,9.4881,9.8135,9.7056,9.7090,9.4663,9.5966,9.6404,9.8081,9.4567,9.7303,9.6256,9.5589,9.7880,9.3358,9.3722,9.6247,9.7742,9.6625,9.6883,9.6340,9.6997,9.6710,9.1989,9.3021,9.5806,9.9847,10.0201,9.9532
YAL012W,14.4726,14.4452,14.4472,14.3866,14.3471,14.3557,14.2976,14.3888,14.3533,14.4810,14.5869,14.5880,12.2684,12.5674,12.6397,14.2845,14.5392,14.5666,14.2852,14.3222,14.3638,14.2626,14.2572,14.1895,14.2914,14.3013,14.2945,14.2424,14.3124,14.2468,14.5166,14.5012,14.5068,14.3601,14.3523,14.4094,14.4586,14.4283,14.4741,14.2790,14.1420,14.2222,14.2745,14.3046,14.3128,14.3239,14.2759,14.3389,14.3796,14.3456,14.3864,14.4246,14.4264,14.3969,14.2964,14.1928,14.1960,14.2466,14.3134,14.3063,14.3070,14.4293,14.3806,14.3988,14.3705,14.3937,14.3312,14.4075,14.3833,14.2257,14.1147,14.1360,14.2987,14.4260,14.2090,13.3384,13.3387,12.9207,14.3338,14.4669,14.3883,14.2123,14.2398,14.2875,14.4266,14.3064,14.2939,14.0359,13.9838,14.1524
YAL014C,12.2208,12.2854,12.2664,12.2376,12.2291,12.2399,12.0393,12.1143,12.1478,12.4207,12.5516,12.4724,12.4908,12.6206,12.7283,11.7567,12.3845,12.3922,12.2232,12.1997,12.2589,12.1039,12.0384,11.9992,12.2685,12.1505,12.2844,12.1134,12.2514,12.1769,12.0742,12.2563,12.3065,12.0433,12.0333,12.0217,12.1341,12.1009,12.1252,12.3203,12.4165,12.2203,12.1303,12.1774,12.1155,12.0043,12.1009,12.3786,11.8989,11.8924,11.8713,11.8867,11.8451,12.0236,11.9029,12.0030,12.1702,11.8555,12.0301,12.0512,12.1717,12.2195,12.2048,12.3074,12.1724,12.3486,12.1936,12.1968,12.2869,12.0526,12.0597,12.0454,12.1863,12.2174,12.0811,12.3380,12.4204,12.3500,12.1019,12.2717,12.0735,12.1318,11.9946,12.0303,12.5058,12.3563,12.2790,11.7867,12.1630,12.0292
YAL015C,8.7610,8.7495,8.8296,9.0822,8.8534,8.7632,8.9798,9.0442,9.0572,8.7615,8.7975,8.6509,8.2015,8.3153,8.3156,9.5422,8.4763,8.4845,8.6655,8.7962,8.7571,8.9691,9.1099,9.1697,8.6598,8.8603,8.5936,9.0225,9.0622,9.0709,9.0680,9.1138,9.1742,9.5166,9.4479,9.5052,9.5937,9.7137,9.5289,9.2070,9.3813,9.2960,9.3481,9.2109,9.4647,9.4542,9.5553,9.4273,9.7048,9.6821,9.8230,9.4269,9.3171,9.3378,9.4394,9.3036,9.4171,9.3605,9.5838,9.4029,9.2993,9.1163,9.2993,9.1468,9.1652,9.3447,8.9898,9.0629,9.1192,9.6817,9.5945,9.8092,8.9978,8.9964,9.2500,9.7605,9.6452,10.0908,9.0458,8.7765,8.9836,9.6814,9.6418,9.5390,8.8970,8.9335,8.7881,9.0337,9.3179,9.0782
YAL017W,10.3366,10.5479,10.5520,10.4508,10.4576,10.5546,10.4767,10.4803,10.5065,10.6124,10.7279,10.6259,11.1205,10.9150,10.8861,10.2553,10.3059,10.2759,10.8843,10.9353,10.9885,10.6709,10.6366,10.5186,10.9345,11.0077,10.9560,10.6318,10.6195,10.6217,10.3875,10.4028,10.4292,10.4453,10.4368,10.3866,10.4043,10.3697,10.4083,11.1023,11.0545,10.9605,10.6889,10.6983,10.6272,10.4919,10.5099,10.8890,11.1756,10.6109,11.0157,10.6957,10.7596,10.8681,10.4460,10.9288,11.4934,11.1562,11.0943,10.9397,11.2122,11.1222,11.0475,10.8536,10.7529,10.8707,10.6605,10.5259,10.7543,10.7755,11.1089,11.2035,10.8039,11.0149,10.7375,12.7129,12.7102,12.6822,10.5216,10.4549,10.4958,11.1413,11.0463,10.9727,11.0635,11.0294,10.7306,11.0562,11.1900,11.1024
YAL019W,10.7676,10.5316,10.5739,10.8701,10.8919,10.7544,10.9967,10.8396,10.9999,10.1984,10.2131,10.1150,9.7208,9.6386,9.5934,11.5400,10.3684,10.1924,10.5484,10.4349,10.3047,10.7641,10.6911,10.8144,10.3862,10.4358,10.2312,10.6410,10.6486,10.7911,10.7206,10.4574,10.3740,10.6372,10.6346,10.5855,10.6492,10.6060,10.5966,10.1345,10.1313,10.3167,10.5207,10.5018,10.5138,10.6836,10.5624,10.0531,10.5335,10.7524,10.5518,10.9572,10.7812,10.6573,10.8951,10.5512,10.0906,10.4731,10.6742,10.5183,10.4573,10.5205,10.5970,10.6996,10.7399,10.6030,10.6239,10.6355,10.7226,10.7243,10.7370,10.5794,10.6572,10.4745,10.8695,8.9986,8.9096,9.1821,11.0559,10.5960,10.7149,10.6124,10.6503,10.6435,10.2487,10.2808,10.5271,10.6116,10.5984,10.5185
YAL022C,12.0235,12.0261,11.9635,12.1381,12.0358,12.0195,11.8815,11.9504,11.9911,12.3589,12.5309,12.5303,11.7521,11.8935,11.9896,11.4132,12.6029,12.6561,11.9525,12.0862,12.1816,11.9179,11.8701,11.8169,11.9739,12.0966,12.0072,11.8315,12.0513,11.8485,11.8191,11.8924,11.8767,11.9895,12.0493,12.0661,12.1889,12.1458,12.1470,11.8324,11.6000,11.7075,11.9716,11.9502,11.8622,11.9852,11.8249,12.3288,12.0618,12.0465,12.0648,12.0620,12.1066,12.1982,11.8427,11.9446,12.0629,11.9049,12.1225,11.9853,12.2659,12.4102,12.1822,12.2268,12.0362,12.1681,12.0077,12.0861,12.0064,11.2930,11.4854,11.2692,12.0147,12.0852,11.6544,11.3008,11.5135,11.2578,12.1803,12.3055,12.0907,11.4268,11.3559,11.4592,12.2887,11.9984,11.8544,11.3663,11.5638,11.3855
