gene_id,glucose_aerobic,glucose_anaerobic,ethanol,galactose,nitrogen_starvation,oxidative_stress,stationary_phase
Q0045,31.72,31.72,31.72,31.72,31.72,31.72,31.72
Q0050,4.22,4.22,6.69,4.22,32.37,4.22,4.22
Q0055,61.91,62.73,61.91,61.91,61.91,61.91,61.91
Q0080,82.34,82.34,82.34,82.34,82.34,82.34,82.34
Q0085,1.08,1.08,0.15,1.08,1.08,1.08,1.08
Q0105,2.85,2.85,0.79,2.85,2.85,2.85,2.85
Q0130,24.33,24.33,24.33,24.33,24.33,24.33,24.33
Q0250,12.50,12.50,12.50,12.50,12.50,18.41,12.50
Q0275,19.59,19.59,19.59,19.59,19.59,19.59,19.59
YAL002W,5.59,5.59,5.59,5.59,5.59,5.59,5.59
YAL005C,75.12,75.12,75.12,75.12,11.39,75.12,75.12
YAL009W,64.50,64.50,64.50,64.50,64.50,64.50,64.50
YAL011W,22.18,22.18,22.18,22.18,22.18,22.18,22.18
YAL012W,108.95,17.23,28.60,14.19,108.95,108.95,108.95
YAL014C,78.51,40.50,40.50,40.50,40.50,40.50,40.50
YAL015C,5.53,5.53,5.53,8.87,5.53,5.53,5.53
YAL017W,34.92,34.92,34.92,34.92,34.92,34.92,34.92
YAL019W,4.77,4.77,4.77,4.77,4.77,4.77,6.48
YAL022C,75.01,240.13,35.72,75.01,75.01,75.01,75.01
YAL023C,18.64,18.64,18.64,18.64,18.64,18.64,18.64
YAL024C,15.22,15.22,15.22,15.22,15.22,15.22,15.22
YAL026C,7.23,7.23,4.62,7.23,7.23,7.23,7.23
YAL031C,125.69,125.69,125.69,125.69,125.69,125.69,125.69
YAL035W,19.48,15.93,15.93,15.93,15.93,15.30,15.93
YAL038W,10.56,10.56,10.56,10.56,10.56,10.56,10.56
YAL039C,20.64,11.84,11.84,13.09,11.84,11.84,11.84
YAL044C,44.63,44.63,44.63,44.63,44.63,44.63,44.63
YAL049C,34.75,34.75,34.75,34.75,34.75,34.75,128.15
YAL054C,37.30,37.30,37.30,37.30,37.30,37.30,40.11
YAL060W,38.33,38.33,38.33,38.33,87.44,38.33,38.33
YAL061W,498.93,498.93,498.93,498.93,498.93,498.93,498.93
YAL062W,10.92,10.92,10.92,10.92,10.92,10.92,10.92
YAL063C,9.32,9.32,9.32,9.32,9.32,6.92,9.32
YAL064W,5.93,5.93,5.93,5.93,5.93,5.93,5.93
YAL067C,311.22,1049.15,50.60,50.60,50.60,50.60,50.60
YAR008W,109.23,109.23,109.23,109.23,86.38,109.23,109.23
YAR015W,16.93,16.93,16.93,16.93,16.93,16.93,16.93
YAR035W,5.70,5.70,5.70,5.70,5.70,5.70,5.70
YAR050W,5.83,5.83,5.83,5.83,5.83,5.83,6.11
YAR071W,53.30,53.30,44.61,53.30,53.30,53.30,53.30
YBL002W,61.24,61.24,61.24,61.24,61.24,61.24,270.71
YBL003C,45.36,78.30,45.36,45.36,45.36,45.36,35.76
YBL004W,7.40,7.40,7.40,7.40,7.40,7.40,7.40
YBL005W-B,28.45,28.45,28.45,15.35,28.45,28.45,28.45
YBL011W,23.93,23.93,23.93,23.93,23.93,23.93,23.93
YBL013W,78.75,27.88,27.88,27.88,27.88,27.88,27.88
YBL015W,74.23,74.23,74.23,74.23,237.23,74.23,74.23
YBL023C,28.09,28.09,28.09,28.09,28.09,28.09,28.09
YBL024W,55.61,20.13,55.61,55.61,55.61,47.48,55.61
YBL030C,22.23,22.23,22.23,22.23,22.23,22.23,22.23
YBL033C,30.99,30.99,30.99,30.99,30.99,30.99,30.99
YBL034C,51.78,51.78,65.23,51.78,51.78,51.78,46.86
YBL037W,2.26,2.26,2.26,2.26,2.26,2.26,2.26
YBL039C,12.43,12.43,12.43,12.43,12.43,12.43,12.43
YBL042C,9.92,12.60,9.92,9.92,9.92,9.92,10.02
YBL045C,7.70,7.70,7.70,7.70,7.70,7.70,7.70
YBL046W,13.29,13.29,13.29,12.66,13.29,13.29,13.29
YBL052C,189.13,189.13,189.13,189.13,189.13,189.13,189.13
YBL056W,23.02,8.19,1.25,5.48,5.48,5.48,5.48
YBL057C,85.83,75.07,58.90,85.83,85.83,85.83,85.83
YBL063W,1.63,1.61,2.13,1.61,2.89,1.61,1.61
YBL064C,12.15,12.15,12.15,12.15,12.15,12.15,12.15
YBL067C,25.64,89.40,25.64,25.64,25.64,64.80,25.64
YBL068W,142.83,48.39,48.39,48.39,48.39,21.61,48.39
YBL074C,58.37,58.37,119.22,58.37,58.37,58.37,58.37
YBL075C,66.02,66.02,66.02,66.02,66.02,66.02,66.02
YBL076C,115.57,11.90,11.90,11.90,5.51,11.90,11.90
YBL079W,10.04,10.04,10.04,10.04,10.04,10.04,10.04
YBL080C,72.75,72.75,85.29,72.75,37.14,72.75,72.75
YBL082C,15.08,15.08,15.08,15.08,15.08,16.25,15.08
YBL089W,2.48,2.96,2.96,2.96,2.96,2.96,2.96
YBL091C,3.67,3.67,3.67,3.67,2.35,4.44,3.67
YBL098W,5.06,5.06,1.42,5.06,34.28,7.50,4.08
YBL099W,42.34,89.53,42.34,42.34,42.34,42.34,42.34
YBL100W-B,24.87,24.87,24.87,24.87,24.44,24.87,24.87
YBR001C,56.58,56.58,56.58,56.58,56.58,56.58,56.58
YBR002C,10.58,15.47,10.58,10.58,10.58,10.58,24.88
YBR003W,25.05,25.48,21.47,25.48,25.48,5.22,104.44
YBR004C,51.34,51.34,51.34,33.63,51.34,51.34,51.34
YBR006W,7.09,12.63,12.63,12.63,12.63,2.44,12.63
YBR010W,39.85,39.85,39.85,39.85,39.85,14.59,39.85
YBR011C,11.90,7.44,7.44,7.44,7.44,7.44,7.44
YBR012W-B,11.65,11.65,11.65,11.65,11.65,11.65,11.65
YBR018C,11.33,11.33,11.33,23.33,11.33,11.33,11.33
YBR019C,3.34,3.34,3.34,3.34,3.34,0.82,3.34
YBR020W,41.70,13.99,41.70,41.70,41.70,41.70,41.70
YBR021W,9.93,9.93,9.93,9.93,9.93,9.93,9.93
YBR022W,20.47,20.47,20.47,20.47,20.47,20.47,2.69
YBR023C,41.31,41.31,41.31,41.31,41.31,41.31,102.02
YBR026C,39.24,54.97,39.24,39.24,10.53,240.10,38.92
YBR029C,47.86,54.49,55.02,54.49,54.49,54.49,54.49
YBR031W,17.33,17.33,17.33,17.33,17.33,48.36,17.33
YBR034C,10.64,10.64,10.69,2.39,10.64,10.64,10.64
YBR035C,23.61,17.82,17.82,17.82,17.82,118.61,17.82
YBR036C,1.60,1.60,1.60,1.60,1.60,1.60,1.02
YBR038W,2.29,2.29,2.29,2.29,2.29,2.29,2.29
YBR039W,2.76,2.76,2.76,2.76,1.04,2.76,2.76
YBR041W,8.46,4.50,4.50,4.50,4.50,4.50,4.50
YBR042C,36.59,36.59,36.59,36.59,36.59,36.59,36.59
YBR046C,5.16,5.16,5.16,5.16,5.16,5.16,5.16
YBR052C,11.39,7.11,11.39,9.97,10.95,11.39,11.39
