compound_uid,model_metabolite_id,primary_name,formula,charge,compartment,smiles,inchikey,kegg_id,chebi_id,metanetx_id,source_database,source_record_id,confidence_level,notes,mapping_source
MODEL_CMPD:0000001,s_0001,(1->3)-beta-D-glucan,C6H10O5,0,ce,,,C00965,CHEBI:37671,MNXM6492,Yeast-MetaTwin,s_0001,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000002,s_0002,(1->3)-beta-D-glucan,C6H10O5,0,c,,,C00965,CHEBI:37671,MNXM6492,Yeast-MetaTwin,s_0002,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000003,s_0003,(1->3)-beta-D-glucan,C6H10O5,0,e,,,C00965,CHEBI:37671,MNXM6492,Yeast-MetaTwin,s_0003,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000004,s_0004,(1->6)-beta-D-glucan,C6H10O5,0,ce,,,C02493,CHEBI:27380,MNXM9375,Yeast-MetaTwin,s_0004,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000005,s_0006,"(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate",C7H8N5O8P2,-3,m,Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)O)CN2,FCQGJGLSOWZZON,C04807,CHEBI:57602,MNXM1160,Yeast-MetaTwin,s_0006,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000006,s_0007,(2E)-3-(methoxycarbonyl)pent-2-enedioic acid,C7H6O6,-2,c,COC(=O)C(=CC(=O)O)CC(=O)O,BRYKYSQCLNCYQW,C11514,CHEBI:57470,MNXM3742,Yeast-MetaTwin,s_0007,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000007,s_0008,"(2R,3R)-2,3-dihydroxy-3-methylpentanoate",C6H11O4,-1,m,CCC(C)(O)C(O)C(=O)[O-],PDGXJDXVGMHUIR,C06007,CHEBI:49258,MNXM1202,Yeast-MetaTwin,s_0008,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000008,s_0009,"(2R,3S)-3-isopropylmalate",C7H10O5,-2,c,CC(C)C(C(=O)[O-])C(O)C(=O)[O-],RNQHMTFBUSSBJQ,C04411,CHEBI:35121,MNXM891,Yeast-MetaTwin,s_0009,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000009,s_0010,(2S)-2-isopropyl-3-oxosuccinate,C7H8O5,-2,c,CC(C)C(C(=O)O)C(=O)C(=O)O,HIIZAGQWABAMRR,C04236,CHEBI:17214,MNXM1602,Yeast-MetaTwin,s_0010,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000010,s_0011,(2S)-2-isopropyl-3-oxosuccinate,C7H8O5,-2,m,CC(C)C(C(=O)O)C(=O)C(=O)O,HIIZAGQWABAMRR,C04236,CHEBI:17214,MNXM1602,Yeast-MetaTwin,s_0011,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
MODEL_CMPD:0000011,s_0012,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",C7H7O7,-3,m,CC(O)(C(=O)O)C(CC(=O)O)C(=O)O,HHKPKXCSHMJWCF,C04593,CHEBI:57429,MNXM1694,Yeast-MetaTwin,s_0012,model,Extracted from Yeast-MetaTwin model; external IDs to be filled by mapping phase.,yeast-GEM-final.csv
