compound_uid,model_metabolite_id,primary_name,formula,previous_structure_status,decision,reason,matched_key,source_database,source_record_id,source_file,method,confidence_level,candidate_count,attempted_key_spaces
MODEL_CMPD:0000001,s_0001,(1->3)-beta-D-glucan,C6H10O5,missing,manual_review,formula_conflict,MNXM6492,,,,,,2,exact_ymdb_id|exact_metanetx_id
MODEL_CMPD:0000002,s_0002,(1->3)-beta-D-glucan,C6H10O5,missing,manual_review,formula_conflict,MNXM6492,,,,,,2,exact_ymdb_id|exact_metanetx_id
MODEL_CMPD:0000003,s_0003,(1->3)-beta-D-glucan,C6H10O5,missing,manual_review,formula_conflict,MNXM6492,,,,,,2,exact_ymdb_id|exact_metanetx_id
MODEL_CMPD:0000004,s_0004,(1->6)-beta-D-glucan,C6H10O5,missing,manual_review,formula_conflict,MNXM9375,,,,,,2,exact_ymdb_id|exact_metanetx_id
MODEL_CMPD:0000062,s_0084,1-acylglycerophosphocholine,C9H20NO7PR,missing,mapped,mapped,CHEBI:11230,ChEBI,CHEBI:11230,C:\biological\Metabolic model prediction\Yeast-MetaTwin-zenodo\Data\database\chebi_id_smiles.csv,exact_chebi_id,high,1,exact_ymdb_id|exact_metanetx_id|exact_chebi_id
MODEL_CMPD:0000065,s_0089,1-phosphatidyl-1D-myo-inositol backbone,C9H15O9P,missing,mapped,mapped,CHEBI:57880,ChEBI,CHEBI:57880,C:\biological\Metabolic model prediction\Yeast-MetaTwin-zenodo\Data\database\chebi_id_smiles.csv,exact_chebi_id,high,1,exact_ymdb_id|exact_metanetx_id|exact_chebi_id
MODEL_CMPD:0000239,s_0330,6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol,,missing,unresolved,local_key_space_exhausted,,,,,,,0,exact_ymdb_id|exact_metanetx_id|exact_chebi_id|exact_kegg_id|exact_pubchem_cid_via_chebi_sdf|unique_normalized_name
MODEL_CMPD:0000240,s_0331,6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,C19H30NO18PR2,missing,manual_review,formula_conflict,MNXM999,,,,,,1,exact_ymdb_id|exact_metanetx_id
MODEL_CMPD:0000241,s_0332,6-[6-(2-aminoethylphosphoryl)-alpha-mannosyl-(1->6)-2-(2-aminoethylphosphoryl)-alpha-mannosyl-(1->6)-alpha-2-(2-aminoethylphosphoryl)mannosyl-(1->4)-alpha-glucosaminyl]-O-acyl-1-phosphatidyl-1D-myo-inositol,C43H44N9O,missing,unresolved,local_key_space_exhausted,,,,,,,0,exact_ymdb_id|exact_metanetx_id|exact_chebi_id|exact_kegg_id|exact_pubchem_cid_via_chebi_sdf|unique_normalized_name
MODEL_CMPD:0000243,s_0334,6-O-[alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl]-O-acyl-1-phosphatidyl-1D-myo-inositol,,missing,unresolved,local_key_space_exhausted,,,,,,,0,exact_ymdb_id|exact_metanetx_id|exact_chebi_id|exact_kegg_id|exact_pubchem_cid_via_chebi_sdf|unique_normalized_name
