reaction_uid,model_reaction_id,reaction_name,model_equation,is_underground_rxn_prefix,crossref_status,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,rxndb_direct_match,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,usable_as_first_pass_training_label
MODEL_RXN:0000001,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0025 + 2 s_0709 --> 2 s_0710 + s_1399,False,has_external_crossref,MNXR138960,R00197,D_LACDcm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000002,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0027 + 2 s_0709 --> 2 s_0710 + s_1401,False,has_external_crossref,MNXR138960,R00197,D_LACDm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000003,r_0003,"(R,R)-butanediol dehydrogenase",s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203,False,has_external_crossref,MNXR107844,R02946,BTDD_RR,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000004,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,s_0063 + 2 s_0709 --> 2 s_0710 + s_1399,False,has_external_crossref,MNXR138959,R00196,L_LACD2cm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000005,r_0005,"1,3-beta-glucan synthase",s_1543 --> s_0001 + s_0794 + s_1538,False,has_external_crossref,MNXR143499,R03118,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000006,r_0006,"1,6-beta-glucan synthase",s_1543 --> s_0004 + s_0794 + s_1538,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0000007,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,s_0077 --> s_0312,False,has_external_crossref,MNXR103169,R04640,PRMICI,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000008,r_0012,1-pyrroline-5-carboxylate dehydrogenase,s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205,False,has_external_crossref,MNXR102301,R00707,P5CDm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000009,r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",s_0311 + 3 s_0803 --> s_0294 + s_0722 + 6 s_0794 + s_1322,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0000010,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",s_0142 + s_0794 + s_0803 --> s_0313 + s_0419,False,has_external_crossref,MNXR112805,R09377,DRTPPD,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000011,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",s_0141 + s_0794 + s_1212 --> s_0142 + s_1207,False,has_external_crossref,MNXR112804,R09376,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000012,r_0016,2-aceto-2-hydroxybutanoate synthase,s_0179 + s_0799 + s_1401 --> s_0039 + s_0460,False,has_external_crossref,MNXR95260,R08648,ACHBSm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000013,r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,s_0148 + s_0437 --> s_0006 + s_0424 + s_0799,False,has_external_crossref,MNXR100694,R03503,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000014,r_0018,2-aminoadipate transaminase,s_0176 + s_0991 <=> s_0180 + s_0953,False,has_external_crossref,MNXR95160,R01939,AATA,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000015,r_0019,2-dehydropantoate 2-reductase,s_0149 + s_0794 + s_1212 --> s_0030 + s_1207,False,has_external_crossref,MNXR97779,R02472,DPR,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000016,r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,s_0552 + s_0807 + s_1361 --> s_0350 + s_1326,False,has_external_crossref,MNXR97218,R01826,DDPAm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000017,r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",s_0155 + s_1419 --> s_0156 + s_0799 + s_1415,False,has_external_crossref,MNXR109269,R04983,2HPMBQMTm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000018,r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,s_0157 + s_1278 --> s_0155 + s_0807,False,has_external_crossref,MNXR109268,R04982,2HP6MPMOm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
