reaction_uid,model_reaction_id,reaction_name,is_underground_rxn_prefix,model_equation,metanetx_reaction_id,kegg_reaction_id,kegg_pathway_ids,bigg_reaction_id,sbo_id,mnx_equation,mnx_reference,mnx_classifs,mnx_is_balanced,mnx_is_transport,crossref_status,notes
MODEL_RXN:0000001,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,False,s_0025 + 2 s_0709 --> 2 s_0710 + s_1399,MNXR138960,R00197,sce00620|sce00920,D_LACDcm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000002,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,False,s_0027 + 2 s_0709 --> 2 s_0710 + s_1401,MNXR138960,R00197,sce00620|sce00920,D_LACDm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000003,r_0003,"(R,R)-butanediol dehydrogenase",False,s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203,MNXR107844,R02946,sce00650,BTDD_RR,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000004,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,False,s_0063 + 2 s_0709 --> 2 s_0710 + s_1399,MNXR138959,R00196,sce00620|sce00920,L_LACD2cm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000005,r_0005,"1,3-beta-glucan synthase",False,s_1543 --> s_0001 + s_0794 + s_1538,MNXR143499,R03118,sce00500|sce04011,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000006,r_0006,"1,6-beta-glucan synthase",False,s_1543 --> s_0004 + s_0794 + s_1538,,,,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0000007,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,False,s_0077 --> s_0312,MNXR103169,R04640,sce00340|sce01110|sce01230,PRMICI,SBO:0000176,1 MNXM1397@MNXD1 = 1 MNXM1408@MNXD1,rheaR:15469,5.3.1.16,B,,has_external_crossref,
MODEL_RXN:0000008,r_0012,1-pyrroline-5-carboxylate dehydrogenase,False,s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205,MNXR102301,R00707,sce00250|sce00330,P5CDm,SBO:0000176,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM1105060@MNXD1 + 1 MNXM8@MNXD1 + 2 WATER@MNXD1,rheaR:16417,1.2.1.3;1.2.1.88;1.5.1.12,B,,has_external_crossref,
MODEL_RXN:0000009,r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",False,s_0311 + 3 s_0803 --> s_0294 + s_0722 + 6 s_0794 + s_1322,,,sce00270,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0000010,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",False,s_0142 + s_0794 + s_0803 --> s_0313 + s_0419,MNXR112805,R09377,sce00740,DRTPPD,SBO:0000176,1 MNXM1099@MNXD1 + 1 MNXM1@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1178@MNXD1 + 1 MNXM729302@MNXD1,rheaR:26140,3.5.4.-;3.5.4.26,B,,has_external_crossref,
MODEL_RXN:0000011,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",False,s_0141 + s_0794 + s_1212 --> s_0142 + s_1207,MNXR112804,R09376,sce00740,,SBO:0000176,1 MNXM1099@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM1103734@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1,rheaR:26144,1.1.1.302,B,,has_external_crossref,
MODEL_RXN:0000012,r_0016,2-aceto-2-hydroxybutanoate synthase,False,s_0179 + s_0799 + s_1401 --> s_0039 + s_0460,MNXR95260,R08648,sce00290|sce00650|sce00660|sce00770|sce01110|sce01130|sce01210|sce01230,ACHBSm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000013,r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,False,s_0148 + s_0437 --> s_0006 + s_0424 + s_0799,MNXR100694,R03503,sce00790,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000014,r_0018,2-aminoadipate transaminase,False,s_0176 + s_0991 <=> s_0180 + s_0953,MNXR95160,R01939,sce00130|sce00270|sce00300|sce00350|sce00360|sce00380|sce00400|sce01110|sce01130|sce01210|sce01230,AATA,SBO:0000176,1 MNXM20@MNXD1 + 1 MNXM268@MNXD1 = 1 MNXM263@MNXD1 + 1 MNXM741173@MNXD1,rheaR:12601,2.6.1.39,B,,has_external_crossref,
MODEL_RXN:0000015,r_0019,2-dehydropantoate 2-reductase,False,s_0149 + s_0794 + s_1212 --> s_0030 + s_1207,MNXR97779,R02472,sce00770|sce01110,DPR,SBO:0000176,1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1 + 1 MNXM959@MNXD1 = 1 MNXM593@MNXD1 + 1 MNXM5@MNXD1,rheaR:16233,1.1.1.169;1.1.1.86,B,,has_external_crossref,
MODEL_RXN:0000016,r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,False,s_0552 + s_0807 + s_1361 --> s_0350 + s_1326,MNXR97218,R01826,sce00400|sce01110|sce01130|sce01230,DDPAm,SBO:0000176,1 MNXM1219@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM258@MNXD1 + 1 MNXM73@MNXD1 + 1 WATER@MNXD1,rheaR:14717,2.5.1.54;2.5.1.55;4.1.2.15,B,,has_external_crossref,
