seq_id,ec_number,ec_class1,ec_class2,ec_class3,ec_class4
YDL174C,1.1.2.4,1,1,2,4
YEL071W,1.1.2.4,1,1,2,4
YDL178W,1.1.2.4,1,1,2,4
YAL060W,1.1.1.4,1,1,1,4
YML054C,1.1.2.3,1,1,2,3
YPR165W,3.6.5.2,3,6,5,2
YIL020C,5.3.1.16,5,3,1,16
YHR037W,1.2.1.88,1,2,1,88
YEL038W,3.1.3.77,3,1,3,77
YMR009W,1.13.11.53,1,13,11,53
YOL066C,3.5.4.26,3,5,4,26
YBR153W,1.1.1.302,1,1,1,302
YMR108W,2.2.1.6,2,2,1,6
YNL256W,2.5.1.15,2,5,1,15
YGL202W,2.6.1.39,2,6,1,39
YJL060W,2.6.1.7,2,6,1,7
YHR063C,1.1.1.169,1,1,1,169
YBR249C,2.5.1.54,2,5,1,54
YDR035W,2.5.1.54,2,5,1,54
YGR255C,1.14.13.-,1,14,13,-
YML110C,2.1.1.201,2,1,1,201
YOL096C,2.1.1.114,2,1,1,114
YOR125C,1.14.99.60,1,14,99,60
YGL009C,4.2.1.33,4,2,1,33
YNL104C,2.3.3.13,2,3,3,13
YOR108W,2.3.3.13,2,3,3,13
YHR137W,2.6.1.57,2,6,1,57
YHR208W,2.6.1.42,2,6,1,42
YJR148W,2.6.1.42,2,6,1,42
YDR234W,4.2.1.36,4,2,1,36
YPR001W,2.3.3.1,2,3,3,1
YOL064C,3.1.3.7,3,1,3,7
YGL248W,3.1.4.17,3,1,4,17
YOR360C,3.1.4.53,3,1,4,53
YDR487C,4.1.99.12,4,1,99,12
YBR265W,1.1.1.102,1,1,1,102
YDR376W,1.18.1.6,1,18,1,6
YDR538W,2.5.1.129,2,5,1,129
YDR539W,4.1.1.102,4,1,1,102
YLR231C,3.7.1.3,3,7,1,3
YKR009C,1.1.1.n12,1,1,1,n12
YJR025C,1.13.11.6,1,13,11,6
YER175C,2.1.1.145,2,1,1,145
YCL018W,1.1.1.85,1,1,1,85
YGR087C,4.1.1.-,4,1,1,-
YLR044C,4.1.1.-,4,1,1,-
YLR134W,4.1.1.-,4,1,1,-
YBR176W,2.1.2.11,2,1,2,11
YDL080C,4.1.1.72,4,1,1,72
YNR033W,2.6.1.85,2,6,1,85
YMR289W,4.1.3.38,4,1,3,38
YGR019W,2.6.1.19,2,6,1,19
YCR053W,4.2.3.1,4,2,3,1
YOR163W,3.6.1.10,3,6,1,10
YLR017W,2.4.2.28,2,4,2,28
YOR155C,3.1.3.99,3,1,3,99
YGL125W,1.5.1.53,1,5,1,53
YPL023C,1.5.1.20,1,5,1,20
YDR232W,2.3.1.37,2,3,1,37
YER183C,6.3.3.2,6,3,3,2
YER091C,2.1.1.14,2,1,1,14
YJR024C,4.2.1.109,4,2,1,109
YPR118W,5.3.1.23,5,3,1,23
YIL107C,2.7.1.105,2,7,1,105
YOL136C,2.7.1.105,2,7,1,105
YGR248W,3.1.1.31,3,1,1,31
YHR163W,3.1.1.31,3,1,1,31
YLR355C,1.1.1.86,1,1,1,86
YIL160C,2.3.1.16,2,3,1,16
YPL028W,2.3.1.9,2,3,1,9
YDL141W,6.3.4.-,6,3,4,-
YBL015W,3.1.2.1,3,1,2,1
YAL054C,6.2.1.1,6,2,1,1
YLR153C,6.2.1.1,6,2,1,1
YER069W,1.2.1.38,1,2,1,38
