seq_id,ec_number,protein_id,gene_symbol
YDL174C,1.1.2.4,P32891,DLD1
YEL071W,1.1.2.4,P39976,DLD3
YDL178W,1.1.2.4,P46681,DLD2
YAL060W,1.1.1.4,P39714,BDH1
YML054C,1.1.2.3,P00175,CYB2
YPR165W,3.6.5.2,P06780,RHO1
YIL020C,5.3.1.16,P40545,HIS6
YHR037W,1.2.1.88,P07275,PUT2
YEL038W,3.1.3.77,P32626,UTR4
YMR009W,1.13.11.53,Q03677,ADI1
YOL066C,3.5.4.26,Q12362,RIB2
YBR153W,1.1.1.302,P33312,RIB7
YMR108W,2.2.1.6,P07342,ILV2
YNL256W,2.5.1.15,P53848,FOL1
YGL202W,2.6.1.39,P53090,ARO8
YJL060W,2.6.1.7,P47039,BNA3
YHR063C,1.1.1.169,P38787,PAN5
YBR249C,2.5.1.54,P32449,ARO4
YDR035W,2.5.1.54,P14843,ARO3
YGR255C,1.14.13.-,P53318,COQ6
YML110C,2.1.1.201,P49017,COQ5
YOL096C,2.1.1.114,P27680,COQ3
YOR125C,1.14.99.60,P41735,CAT5
YGL009C,4.2.1.33,P07264,LEU1
YNL104C,2.3.3.13,P06208,LEU4
YOR108W,2.3.3.13,Q12166,LEU9
YHR137W,2.6.1.57,P38840,ARO9
YHR208W,2.6.1.42,P38891,BAT1
YJR148W,2.6.1.42,P47176,BAT2
YDR234W,4.2.1.36,P49367,LYS4
YPR001W,2.3.3.1,P43635,CIT3
YOL064C,3.1.3.7,P32179,MET22
YGL248W,3.1.4.17,P22434,PDE1
YOR360C,3.1.4.53,P06776,PDE2
YDR487C,4.1.99.12,Q99258,RIB3
YBR265W,1.1.1.102,P38342,TSC10
YDR376W,1.18.1.6,P48360,ARH1
YDR538W,2.5.1.129,P33751,PAD1
YDR539W,4.1.1.102,Q03034,FDC1
YLR231C,3.7.1.3,Q05979,BNA5
YKR009C,1.1.1.n12,Q02207,FOX2
YJR025C,1.13.11.6,P47096,BNA1
YER175C,2.1.1.145,P32643,TMT1
YCL018W,1.1.1.85,P04173,LEU2
YGR087C,4.1.1.-,P26263,PDC6
YLR044C,4.1.1.-,P06169,PDC1
YLR134W,4.1.1.-,P16467,PDC5
YBR176W,2.1.2.11,P38122,ECM31
YDL080C,4.1.1.72,Q07471,THI3
YNR033W,2.6.1.85,P37254,ABZ1
YMR289W,4.1.3.38,Q03266,ABZ2
YGR019W,2.6.1.19,P17649,UGA1
YCR053W,4.2.3.1,P16120,THR4
YOR163W,3.6.1.10,Q99321,DDP1
YLR017W,2.4.2.28,Q07938,MEU1
YOR155C,3.1.3.99,Q99312,ISN1
YGL125W,1.5.1.53,P53128,MET13
YPL023C,1.5.1.20,P46151,MET12
YDR232W,2.3.1.37,P09950,HEM1
YER183C,6.3.3.2,P40099,FAU1
YER091C,2.1.1.14,P05694,MET6
YJR024C,4.2.1.109,P47095,MDE1
YPR118W,5.3.1.23,Q06489,MRI1
YIL107C,2.7.1.105,P40433,PFK26
YOL136C,2.7.1.105,Q12471,PFK27
YGR248W,3.1.1.31,P53315,SOL4
YHR163W,3.1.1.31,P38858,SOL3
YLR355C,1.1.1.86,P06168,ILV5
YIL160C,2.3.1.16,P27796,POT1
YPL028W,2.3.1.9,P41338,ERG10
YDL141W,6.3.4.-,P48445,BPL1
YBL015W,3.1.2.1,P32316,ACH1
YAL054C,6.2.1.1,Q01574,ACS1
YLR153C,6.2.1.1,P52910,ACS2
YER069W,1.2.1.38,Q01217,"ARG5,6"
