reaction_uid,model_reaction_id,reaction_name,model_equation,direction,lower_bound,upper_bound,reactant_compound_uids,product_compound_uids,stoichiometry_json,genes,orfs,gpr,enzyme_evidence_rows,enzyme_protein_ids,enzyme_orfs,enzyme_gene_symbols,enzyme_ec_numbers,enzyme_confidence_levels,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,external_database_crossrefs_compact,all_crossrefs_compact,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,export_group,label_source,usable_as_first_pass_training_label,split_pool,split_key,split_hash_bucket,split,exact_sequence_split_pool,exact_sequence_split_key_type,exact_sequence_split_key,exact_sequence_hashes,orf_count_for_sequence_split,matched_sequence_count_for_split,exact_sequence_split_hash_bucket,exact_sequence_split
MODEL_RXN:0000001,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0025 + 2 s_0709 --> 2 s_0710 + s_1399,forward,0.0,1000.0,MODEL_CMPD:0000024|MODEL_CMPD:0000536,MODEL_CMPD:0000537|MODEL_CMPD:0001078,"{""s_0025"": -1, ""s_0709"": -2, ""s_0710"": 2, ""s_1399"": 1}",CYC1|CYC7|DLD1|DLD3,YDL174C|YEL039C|YEL071W|YJR048W,(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W),4,P00044|P00045|P32891|P39976,YDL174C|YEL039C|YEL071W|YJR048W,CYC1|CYC7|DLD1|DLD3,1.1.2.4|1.1.99.40,high,MNXR138960,R00197,D_LACDcm,SBO:0000176,D_LACDcm|MNXR138960|R00197,D_LACDcm|MNXR138960|R00197|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0025 + 2 s_0709 --> 2 s_0710 + s_1399,95,test,reference_only,exact_sequence_set,seqset:8db23139ed99abd2aabebd23f372db6c07c3a4dee43ac89f7acb62bba7836bcd,4e34ae29ad78a4ec800e6ad3d3092eb39115fccc3ef4ccc24f55bf9c8a087cfa|5425b743ce367e986165cef7e08406c41488baee2167ce03b87f1d6b3e0f3749|6b64aa5f25071913be4778db386c664e4dfb0943f07d3041f6d0537608bfdbf4|fb2aa34bacd72e0fd43651566cae0986669fcafc26781914a2c17917ad624979,4,4,10,train
MODEL_RXN:0000002,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0027 + 2 s_0709 --> 2 s_0710 + s_1401,forward,0.0,1000.0,MODEL_CMPD:0000026|MODEL_CMPD:0000536,MODEL_CMPD:0000537|MODEL_CMPD:0001080,"{""s_0027"": -1, ""s_0709"": -2, ""s_0710"": 2, ""s_1401"": 1}",CYC1|CYC7|DLD2,YDL178W|YEL039C|YJR048W,(YDL178W and YEL039C) or (YDL178W and YJR048W),3,P00044|P00045|P46681,YDL178W|YEL039C|YJR048W,CYC1|CYC7|DLD2,1.1.2.4|1.1.99.40,high,MNXR138960,R00197,D_LACDm,SBO:0000176,D_LACDm|MNXR138960|R00197,D_LACDm|MNXR138960|R00197|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0027 + 2 s_0709 --> 2 s_0710 + s_1401,7,train,reference_only,exact_sequence_set,seqset:bc26398ba9a6c07318ef9db32496910edfaa21a69de7dd579d96764e65521808,5425b743ce367e986165cef7e08406c41488baee2167ce03b87f1d6b3e0f3749|6b64aa5f25071913be4778db386c664e4dfb0943f07d3041f6d0537608bfdbf4|833191dd3c46bd19d71bd6cca25b129d1b66a116d2c7a4a7fbe1762d76fa56af,3,3,25,train
MODEL_RXN:0000003,r_0003,"(R,R)-butanediol dehydrogenase",s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203,reversible,-1000.0,1000.0,MODEL_CMPD:0000034|MODEL_CMPD:0000942,MODEL_CMPD:0000019|MODEL_CMPD:0000601|MODEL_CMPD:0000947,"{""s_0020"": 1, ""s_0035"": -1, ""s_0794"": 1, ""s_1198"": -1, ""s_1203"": 1}",BDH1,YAL060W,YAL060W,1,P39714,YAL060W,BDH1,1.1.1.4,high,MNXR107844,R02946,BTDD_RR,SBO:0000176,BTDD_RR|MNXR107844|R02946,BTDD_RR|MNXR107844|R02946|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203,25,train,reference_only,exact_sequence_set,seqset:aec847c0426c85ae80b5927ba96fd91a77914eaa239f4870bb39da04fe2a8100,951fb8f085f63aa36e26096c01791b56effd05c6b1c59df08a6f6c7b30871d6f,1,1,61,train
MODEL_RXN:0000004,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,s_0063 + 2 s_0709 --> 2 s_0710 + s_1399,forward,0.0,1000.0,MODEL_CMPD:0000049|MODEL_CMPD:0000536,MODEL_CMPD:0000537|MODEL_CMPD:0001078,"{""s_0063"": -1, ""s_0709"": -2, ""s_0710"": 2, ""s_1399"": 1}",CYB2|CYC1|CYC7,YEL039C|YJR048W|YML054C,(YEL039C and YML054C) or (YJR048W and YML054C),3,P00044|P00045|P00175,YEL039C|YJR048W|YML054C,CYB2|CYC1|CYC7,1.1.2.3,high,MNXR138959,R00196,L_LACD2cm,SBO:0000176,L_LACD2cm|MNXR138959|R00196,L_LACD2cm|MNXR138959|R00196|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0063 + 2 s_0709 --> 2 s_0710 + s_1399,89,dev,reference_only,exact_sequence_set,seqset:1ed4c098bb502a013bd368a59a8dc19bfe9b30fe884114e8cae338a554302eae,5425b743ce367e986165cef7e08406c41488baee2167ce03b87f1d6b3e0f3749|5872b9939ee3ecd548482387b55ebc27c6d9ca4cc42a8320980422cb8411d313|6b64aa5f25071913be4778db386c664e4dfb0943f07d3041f6d0537608bfdbf4,3,3,56,train
MODEL_RXN:0000005,r_0005,"1,3-beta-glucan synthase",s_1543 --> s_0001 + s_0794 + s_1538,forward,0.0,1000.0,MODEL_CMPD:0001188,MODEL_CMPD:0000001|MODEL_CMPD:0000601|MODEL_CMPD:0001183,"{""s_0001"": 1, ""s_0794"": 1, ""s_1538"": 1, ""s_1543"": -1}",FKS1|FKS3|GSC2|RHO1,YGR032W|YLR342W|YMR306W|YPR165W,(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W),4,P06780|P38631|P40989|Q04952,YGR032W|YLR342W|YMR306W|YPR165W,FKS1|FKS3|GSC2|RHO1,2.4.1.34|3.6.5.2,high,MNXR143499,R03118,,SBO:0000176,MNXR143499|R03118,MNXR143499|R03118|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_1543 --> s_0001 + s_0794 + s_1538,38,train,reference_only,exact_sequence_set,seqset:25463c71960f059294c043efacd9dde8dc4a9c1b2df28ce8d64cef421df9a011,3c3cb47d742aa453652ac8fbef1344f33a6bd04cb4f056b01aeabcd8e9f9a5e2|77e9fb8b7d5c73c5605066fe6afb31cb7c480b2eb32a26bbec0e2ccd268786f0|f6ce5f1682f7ac8cb7edbfaddbc0f91d1638236299a088a47757287acfeb76b6|fe7818b00c5338f104ca449e59d7910369283c52cf6ce619afcecf64a745d517,4,4,92,test
MODEL_RXN:0000007,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,s_0077 --> s_0312,forward,0.0,1000.0,MODEL_CMPD:0000058,MODEL_CMPD:0000221,"{""s_0077"": -1, ""s_0312"": 1}",HIS6,YIL020C,YIL020C,1,P40545,YIL020C,HIS6,5.3.1.16,high,MNXR103169,R04640,PRMICI,SBO:0000176,MNXR103169|PRMICI|R04640,MNXR103169|PRMICI|R04640|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0077 --> s_0312,45,train,reference_only,exact_sequence_set,seqset:d9d6afba9386f1ea1e50915abdd09590ef2e11c037a91b04e214098bb71b30ee,1b9a3104ef03268bdad810d0006626e354849c3fcc58cbb92fdc2fbb4bb128aa,1,1,98,test
MODEL_RXN:0000008,r_0012,1-pyrroline-5-carboxylate dehydrogenase,s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205,forward,0.0,1000.0,MODEL_CMPD:0000069|MODEL_CMPD:0000614|MODEL_CMPD:0000944,MODEL_CMPD:0000606|MODEL_CMPD:0000786|MODEL_CMPD:0000949,"{""s_0119"": -1, ""s_0799"": 1, ""s_0807"": -2, ""s_0993"": 1, ""s_1200"": -1, ""s_1205"": 1}",PUT2,YHR037W,YHR037W,1,P07275,YHR037W,PUT2,1.2.1.88,high,MNXR102301,R00707,P5CDm,SBO:0000176,MNXR102301|P5CDm|R00707,MNXR102301|P5CDm|R00707|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205,53,train,reference_only,exact_sequence_set,seqset:f924065fee79e85d5ab8daf893972c2eda6a339270121a56f2251000124b8bd2,4e12cc548076e87e31474889f1b7cdda41c829a61a18c54718a740a42f189f75,1,1,3,train
MODEL_RXN:0000010,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",s_0142 + s_0794 + s_0803 --> s_0313 + s_0419,forward,0.0,1000.0,MODEL_CMPD:0000090|MODEL_CMPD:0000601|MODEL_CMPD:0000610,MODEL_CMPD:0000222|MODEL_CMPD:0000310,"{""s_0142"": -1, ""s_0313"": 1, ""s_0419"": 1, ""s_0794"": -1, ""s_0803"": -1}",RIB2,YOL066C,YOL066C,1,Q12362,YOL066C,RIB2,3.5.4.26|5.4.99.28,high,MNXR112805,R09377,DRTPPD,SBO:0000176,DRTPPD|MNXR112805|R09377,DRTPPD|MNXR112805|R09377|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0142 + s_0794 + s_0803 --> s_0313 + s_0419,21,train,reference_only,exact_sequence_set,seqset:eff221d2389d6bf1fd4482b21cc8d280088647f1c47ed001a8f6006ffc2fc4d5,bf6f0060aee71a8f2de21f3910fa18bdbb93f72cadb6e9d409858711b1ee27c0,1,1,38,train
MODEL_RXN:0000011,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",s_0141 + s_0794 + s_1212 --> s_0142 + s_1207,forward,0.0,1000.0,MODEL_CMPD:0000089|MODEL_CMPD:0000601|MODEL_CMPD:0000955,MODEL_CMPD:0000090|MODEL_CMPD:0000951,"{""s_0141"": -1, ""s_0142"": 1, ""s_0794"": -1, ""s_1207"": 1, ""s_1212"": -1}",RIB7,YBR153W,YBR153W,1,P33312,YBR153W,RIB7,1.1.1.302,high,MNXR112804,R09376,,SBO:0000176,MNXR112804|R09376,MNXR112804|R09376|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0141 + s_0794 + s_1212 --> s_0142 + s_1207,39,train,reference_only,exact_sequence_set,seqset:a58081a3acac52def594a14f5133a6e59bde503fc6229d40561b41638dff9c6d,5adf79a725fc9b6469a93cc84ee02061b7fd5d2ac5ce47b51f7f629a76cde1ec,1,1,82,dev
MODEL_RXN:0000012,r_0016,2-aceto-2-hydroxybutanoate synthase,s_0179 + s_0799 + s_1401 --> s_0039 + s_0460,forward,0.0,1000.0,MODEL_CMPD:0000123|MODEL_CMPD:0000606|MODEL_CMPD:0001080,MODEL_CMPD:0000038|MODEL_CMPD:0000346,"{""s_0039"": 1, ""s_0179"": -1, ""s_0460"": 1, ""s_0799"": -1, ""s_1401"": -1}",ILV2|ILV6,YCL009C|YMR108W,(YCL009C and YMR108W) or YMR108W,2,P07342|P25605,YCL009C|YMR108W,ILV2|ILV6,2.2.1.6,high,MNXR95260,R08648,ACHBSm,SBO:0000176,ACHBSm|MNXR95260|R08648,ACHBSm|MNXR95260|R08648|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0179 + s_0799 + s_1401 --> s_0039 + s_0460,87,dev,reference_only,exact_sequence_set,seqset:5e86d1ea5ac5850d4ee63d8247e2394f02adde0bba8a173b914f236c838c1cf0,4799471b2da516bfe3315ba75c3045b3b115d66c117cc604a95308036189d885|ab9b465ac089193dee02016c5ae4a63c574e81b4215068f13163e6136578b5e7,2,2,64,train
