seq_id,reaction_id,feasible,species
YDL174C,r_0001,1.0,Saccharomyces cerevisiae
YEL071W,r_0001,1.0,Saccharomyces cerevisiae
YDL178W,r_0002,1.0,Saccharomyces cerevisiae
YAL060W,r_0003,1.0,Saccharomyces cerevisiae
YML054C,r_0004,1.0,Saccharomyces cerevisiae
YPR165W,r_0005,1.0,Saccharomyces cerevisiae
YIL020C,r_0007,1.0,Saccharomyces cerevisiae
YHR037W,r_0012,1.0,Saccharomyces cerevisiae
YEL038W,r_0013,1.0,Saccharomyces cerevisiae
YMR009W,r_0013,1.0,Saccharomyces cerevisiae
YOL066C,r_0014,1.0,Saccharomyces cerevisiae
YBR153W,r_0015,1.0,Saccharomyces cerevisiae
YMR108W,r_0016,1.0,Saccharomyces cerevisiae
YNL256W,r_0017,1.0,Saccharomyces cerevisiae
YGL202W,r_0018,1.0,Saccharomyces cerevisiae
YJL060W,r_0018,1.0,Saccharomyces cerevisiae
YHR063C,r_0019,1.0,Saccharomyces cerevisiae
YBR249C,r_0020,1.0,Saccharomyces cerevisiae
YDR035W,r_0020,1.0,Saccharomyces cerevisiae
YGR255C,r_0021,1.0,Saccharomyces cerevisiae
YML110C,r_0021,1.0,Saccharomyces cerevisiae
YOL096C,r_0021,1.0,Saccharomyces cerevisiae
YOR125C,r_0021,1.0,Saccharomyces cerevisiae
YGL009C,r_0023,1.0,Saccharomyces cerevisiae
YNL104C,r_0024,1.0,Saccharomyces cerevisiae
YOR108W,r_0024,1.0,Saccharomyces cerevisiae
YHR137W,r_0026,1.0,Saccharomyces cerevisiae
YHR208W,r_0026,1.0,Saccharomyces cerevisiae
YJR148W,r_0026,1.0,Saccharomyces cerevisiae
YDR234W,r_0027,1.0,Saccharomyces cerevisiae
YPR001W,r_0028,1.0,Saccharomyces cerevisiae
YOL064C,r_0032,1.0,Saccharomyces cerevisiae
YGL248W,r_0033,1.0,Saccharomyces cerevisiae
YOR360C,r_0033,1.0,Saccharomyces cerevisiae
YDR487C,r_0038,1.0,Saccharomyces cerevisiae
YBR265W,r_0041,1.0,Saccharomyces cerevisiae
YDR376W,r_0043,1.0,Saccharomyces cerevisiae
YDR538W,r_0044,1.0,Saccharomyces cerevisiae
YDR539W,r_0044,1.0,Saccharomyces cerevisiae
YLR231C,r_0045,1.0,Saccharomyces cerevisiae
YKR009C,r_0057,1.0,Saccharomyces cerevisiae
YJR025C,r_0058,1.0,Saccharomyces cerevisiae
YER175C,r_0059,1.0,Saccharomyces cerevisiae
YCL018W,r_0061,1.0,Saccharomyces cerevisiae
YGR087C,r_0062,1.0,Saccharomyces cerevisiae
YLR044C,r_0062,1.0,Saccharomyces cerevisiae
YLR134W,r_0062,1.0,Saccharomyces cerevisiae
YBR176W,r_0063,1.0,Saccharomyces cerevisiae
YDL080C,r_0064,1.0,Saccharomyces cerevisiae
YNR033W,r_0066,1.0,Saccharomyces cerevisiae
YMR289W,r_0067,1.0,Saccharomyces cerevisiae
YGR019W,r_0068,1.0,Saccharomyces cerevisiae
YCR053W,r_0069,1.0,Saccharomyces cerevisiae
YOR163W,r_0073,1.0,Saccharomyces cerevisiae
YLR017W,r_0075,1.0,Saccharomyces cerevisiae
YOR155C,r_0077,1.0,Saccharomyces cerevisiae
YGL125W,r_0080,1.0,Saccharomyces cerevisiae
YPL023C,r_0080,1.0,Saccharomyces cerevisiae
YDR232W,r_0081,1.0,Saccharomyces cerevisiae
YER183C,r_0084,1.0,Saccharomyces cerevisiae
YER091C,r_0085,1.0,Saccharomyces cerevisiae
YJR024C,r_0086,1.0,Saccharomyces cerevisiae
YPR118W,r_0087,1.0,Saccharomyces cerevisiae
YIL107C,r_0090,1.0,Saccharomyces cerevisiae
YOL136C,r_0090,1.0,Saccharomyces cerevisiae
YGR248W,r_0091,1.0,Saccharomyces cerevisiae
YHR163W,r_0091,1.0,Saccharomyces cerevisiae
YLR355C,r_0096,1.0,Saccharomyces cerevisiae
YIL160C,r_0100,1.0,Saccharomyces cerevisiae
YPL028W,r_0103,1.0,Saccharomyces cerevisiae
YDL141W,r_0109,1.0,Saccharomyces cerevisiae
YBL015W,r_0111,1.0,Saccharomyces cerevisiae
YAL054C,r_0112,1.0,Saccharomyces cerevisiae
YLR153C,r_0112,1.0,Saccharomyces cerevisiae
YER069W,r_0115,1.0,Saccharomyces cerevisiae
