seq_id,substrate_id,log10_kcat,species
YDL174C,generic_substrate,1.428,Saccharomyces cerevisiae
YEL071W,generic_substrate,1.414,Saccharomyces cerevisiae
YDL178W,generic_substrate,1.444,Saccharomyces cerevisiae
YAL060W,generic_substrate,1.851,Saccharomyces cerevisiae
YML054C,generic_substrate,1.436,Saccharomyces cerevisiae
YPR165W,generic_substrate,1.051,Saccharomyces cerevisiae
YIL020C,generic_substrate,2.666,Saccharomyces cerevisiae
YHR037W,generic_substrate,1.366,Saccharomyces cerevisiae
YEL038W,generic_substrate,1.692,Saccharomyces cerevisiae
YMR009W,generic_substrate,1.558,Saccharomyces cerevisiae
YOL066C,generic_substrate,1.916,Saccharomyces cerevisiae
YBR153W,generic_substrate,2.082,Saccharomyces cerevisiae
YMR108W,generic_substrate,2.328,Saccharomyces cerevisiae
YNL256W,generic_substrate,2.055,Saccharomyces cerevisiae
YGL202W,generic_substrate,1.631,Saccharomyces cerevisiae
YJL060W,generic_substrate,1.493,Saccharomyces cerevisiae
YHR063C,generic_substrate,1.623,Saccharomyces cerevisiae
YBR249C,generic_substrate,2.656,Saccharomyces cerevisiae
YDR035W,generic_substrate,2.021,Saccharomyces cerevisiae
YGR255C,generic_substrate,1.447,Saccharomyces cerevisiae
YML110C,generic_substrate,2.266,Saccharomyces cerevisiae
YOL096C,generic_substrate,1.273,Saccharomyces cerevisiae
YOR125C,generic_substrate,1.344,Saccharomyces cerevisiae
YGL009C,generic_substrate,1.445,Saccharomyces cerevisiae
YNL104C,generic_substrate,2.437,Saccharomyces cerevisiae
YOR108W,generic_substrate,1.880,Saccharomyces cerevisiae
YHR137W,generic_substrate,2.188,Saccharomyces cerevisiae
YHR208W,generic_substrate,2.124,Saccharomyces cerevisiae
YJR148W,generic_substrate,2.391,Saccharomyces cerevisiae
YDR234W,generic_substrate,0.643,Saccharomyces cerevisiae
YPR001W,generic_substrate,2.284,Saccharomyces cerevisiae
YOL064C,generic_substrate,1.043,Saccharomyces cerevisiae
YGL248W,generic_substrate,0.490,Saccharomyces cerevisiae
YOR360C,generic_substrate,1.497,Saccharomyces cerevisiae
YDR487C,generic_substrate,0.742,Saccharomyces cerevisiae
YBR265W,generic_substrate,1.938,Saccharomyces cerevisiae
YDR376W,generic_substrate,1.832,Saccharomyces cerevisiae
YDR538W,generic_substrate,1.390,Saccharomyces cerevisiae
YDR539W,generic_substrate,1.624,Saccharomyces cerevisiae
YLR231C,generic_substrate,1.299,Saccharomyces cerevisiae
YKR009C,generic_substrate,1.457,Saccharomyces cerevisiae
YJR025C,generic_substrate,1.353,Saccharomyces cerevisiae
YER175C,generic_substrate,2.057,Saccharomyces cerevisiae
YCL018W,generic_substrate,1.909,Saccharomyces cerevisiae
YGR087C,generic_substrate,1.519,Saccharomyces cerevisiae
YLR044C,generic_substrate,1.375,Saccharomyces cerevisiae
YLR134W,generic_substrate,1.525,Saccharomyces cerevisiae
YBR176W,generic_substrate,2.239,Saccharomyces cerevisiae
YDL080C,generic_substrate,0.887,Saccharomyces cerevisiae
YNR033W,generic_substrate,1.641,Saccharomyces cerevisiae
YMR289W,generic_substrate,0.965,Saccharomyces cerevisiae
YGR019W,generic_substrate,2.250,Saccharomyces cerevisiae
YCR053W,generic_substrate,1.075,Saccharomyces cerevisiae
YOR163W,generic_substrate,2.968,Saccharomyces cerevisiae
YLR017W,generic_substrate,1.590,Saccharomyces cerevisiae
YOR155C,generic_substrate,1.251,Saccharomyces cerevisiae
YGL125W,generic_substrate,1.884,Saccharomyces cerevisiae
YPL023C,generic_substrate,2.211,Saccharomyces cerevisiae
YDR232W,generic_substrate,2.253,Saccharomyces cerevisiae
YER183C,generic_substrate,1.418,Saccharomyces cerevisiae
YER091C,generic_substrate,2.713,Saccharomyces cerevisiae
YJR024C,generic_substrate,1.153,Saccharomyces cerevisiae
YPR118W,generic_substrate,1.789,Saccharomyces cerevisiae
YIL107C,generic_substrate,1.734,Saccharomyces cerevisiae
YOL136C,generic_substrate,2.476,Saccharomyces cerevisiae
YGR248W,generic_substrate,1.078,Saccharomyces cerevisiae
YHR163W,generic_substrate,1.817,Saccharomyces cerevisiae
YLR355C,generic_substrate,1.627,Saccharomyces cerevisiae
YIL160C,generic_substrate,1.842,Saccharomyces cerevisiae
YPL028W,generic_substrate,2.362,Saccharomyces cerevisiae
YDL141W,generic_substrate,1.290,Saccharomyces cerevisiae
YBL015W,generic_substrate,2.961,Saccharomyces cerevisiae
YAL054C,generic_substrate,1.310,Saccharomyces cerevisiae
YLR153C,generic_substrate,0.695,Saccharomyces cerevisiae
YER069W,generic_substrate,1.219,Saccharomyces cerevisiae
