model_reaction_id,reaction_name,model_equation,label,label_name,model_split,lower_bound_num,upper_bound_num,enzyme_evidence_rows_num,reactant_count,product_count,stoich_metabolite_count,has_gpr,has_ec,has_formula_balance,has_charge_balance,text
r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0025 + 2 s_0709 --> 2 s_0710 + s_1399,1,curated_reference,train,0.0,1000.0,4,2,2,4,1,1,0,1,(R)-lactate:ferricytochrome-c 2-oxidoreductase ; s_0025 + 2 s_0709 --> 2 s_0710 + s_1399 ; forward ; 1.1.2.4|1.1.99.40 ; (YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W)
r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0027 + 2 s_0709 --> 2 s_0710 + s_1401,1,curated_reference,train,0.0,1000.0,3,2,2,4,1,1,0,1,(R)-lactate:ferricytochrome-c 2-oxidoreductase ; s_0027 + 2 s_0709 --> 2 s_0710 + s_1401 ; forward ; 1.1.2.4|1.1.99.40 ; (YDL178W and YEL039C) or (YDL178W and YJR048W)
r_0003,"(R,R)-butanediol dehydrogenase",s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203,1,curated_reference,train,-1000.0,1000.0,1,2,3,5,1,1,1,1,"(R,R)-butanediol dehydrogenase ; s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203 ; reversible ; 1.1.1.4 ; YAL060W"
r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,s_0063 + 2 s_0709 --> 2 s_0710 + s_1399,1,curated_reference,train,0.0,1000.0,3,2,2,4,1,1,0,1,(S)-lactate:ferricytochrome-c 2-oxidoreductase ; s_0063 + 2 s_0709 --> 2 s_0710 + s_1399 ; forward ; 1.1.2.3 ; (YEL039C and YML054C) or (YJR048W and YML054C)
r_0005,"1,3-beta-glucan synthase",s_1543 --> s_0001 + s_0794 + s_1538,1,curated_reference,train,0.0,1000.0,4,1,3,4,1,1,1,1,"1,3-beta-glucan synthase ; s_1543 --> s_0001 + s_0794 + s_1538 ; forward ; 2.4.1.34|3.6.5.2 ; (YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)"
r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,s_0077 --> s_0312,1,curated_reference,train,0.0,1000.0,1,1,1,2,1,1,1,1,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase ; s_0077 --> s_0312 ; forward ; 5.3.1.16 ; YIL020C
r_0012,1-pyrroline-5-carboxylate dehydrogenase,s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205,1,curated_reference,test,0.0,1000.0,1,3,3,6,1,1,1,1,1-pyrroline-5-carboxylate dehydrogenase ; s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205 ; forward ; 1.2.1.88 ; YHR037W
r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",s_0142 + s_0794 + s_0803 --> s_0313 + s_0419,1,curated_reference,test,0.0,1000.0,1,3,2,5,1,1,1,1,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase ; s_0142 + s_0794 + s_0803 --> s_0313 + s_0419 ; forward ; 3.5.4.26|5.4.99.28 ; YOL066C"
r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",s_0141 + s_0794 + s_1212 --> s_0142 + s_1207,1,curated_reference,test,0.0,1000.0,1,3,2,5,1,1,1,1,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH) ; s_0141 + s_0794 + s_1212 --> s_0142 + s_1207 ; forward ; 1.1.1.302 ; YBR153W"
r_0016,2-aceto-2-hydroxybutanoate synthase,s_0179 + s_0799 + s_1401 --> s_0039 + s_0460,1,curated_reference,train,0.0,1000.0,2,3,2,5,1,1,1,1,2-aceto-2-hydroxybutanoate synthase ; s_0179 + s_0799 + s_1401 --> s_0039 + s_0460 ; forward ; 2.2.1.6 ; (YCL009C and YMR108W) or YMR108W
r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,s_0148 + s_0437 --> s_0006 + s_0424 + s_0799,1,curated_reference,train,0.0,1000.0,1,2,3,5,1,1,1,1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase ; s_0148 + s_0437 --> s_0006 + s_0424 + s_0799 ; forward ; 2.5.1.15|2.7.6.3|4.1.2.25 ; YNL256W
r_0018,2-aminoadipate transaminase,s_0176 + s_0991 <=> s_0180 + s_0953,1,curated_reference,train,-1000.0,1000.0,3,2,2,4,1,1,1,1,2-aminoadipate transaminase ; s_0176 + s_0991 <=> s_0180 + s_0953 ; reversible ; 2.6.1.39|2.6.1.57|2.6.1.7 ; YER152C or YGL202W or YJL060W
r_0019,2-dehydropantoate 2-reductase,s_0149 + s_0794 + s_1212 --> s_0030 + s_1207,1,curated_reference,train,0.0,1000.0,1,3,2,5,1,1,1,1,2-dehydropantoate 2-reductase ; s_0149 + s_0794 + s_1212 --> s_0030 + s_1207 ; forward ; 1.1.1.169 ; YHR063C
r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,s_0552 + s_0807 + s_1361 --> s_0350 + s_1326,1,curated_reference,train,0.0,1000.0,2,3,2,5,1,1,1,1,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase ; s_0552 + s_0807 + s_1361 --> s_0350 + s_1326 ; forward ; 2.5.1.54 ; YDR035W or YBR249C
r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",s_0155 + s_1419 --> s_0156 + s_0799 + s_1415,1,curated_reference,train,0.0,1000.0,6,2,3,5,1,1,1,1,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase ; s_0155 + s_1419 --> s_0156 + s_0799 + s_1415 ; forward ; 1.14.13.-|1.14.99.60|2.1.1.114|2.1.1.201|2.1.1.64|3.5.-.- ; YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C"
r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,s_0157 + s_1278 --> s_0155 + s_0807,1,curated_reference,train,0.0,1000.0,6,2,2,4,1,1,1,1,2-hexaprenyl-6-methoxyphenol monooxygenase ; s_0157 + s_1278 --> s_0155 + s_0807 ; forward ; 1.14.13.-|1.14.99.60|2.1.1.114|2.1.1.201|2.1.1.64|3.5.-.- ; YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
r_0023,2-isopropylmalate hydratase,s_0165 + s_0803 <=> s_0162,1,curated_reference,dev,-1000.0,1000.0,1,2,1,3,1,1,1,1,2-isopropylmalate hydratase ; s_0165 + s_0803 <=> s_0162 ; reversible ; 4.2.1.33 ; YGL009C
r_0024,2-isopropylmalate synthase,s_0232 + s_0373 + s_0803 --> s_0162 + s_0529 + s_0794,1,curated_reference,train,0.0,1000.0,2,3,3,6,1,1,1,1,2-isopropylmalate synthase ; s_0232 + s_0373 + s_0803 --> s_0162 + s_0529 + s_0794 ; forward ; 2.3.3.13 ; YNL104C or YOR108W
r_0025,2-isopropylmalate synthase,s_0233 + s_0376 + s_0807 --> s_0164 + s_0532 + s_0799,1,curated_reference,train,0.0,1000.0,1,3,3,6,1,1,1,1,2-isopropylmalate synthase ; s_0233 + s_0376 + s_0807 --> s_0164 + s_0532 + s_0799 ; forward ; 2.3.3.13 ; YNL104C
r_0026,2-keto-4-methylthiobutyrate transamination,s_0294 + s_0991 --> s_0180 + s_1029,1,curated_reference,train,0.0,1000.0,4,2,2,4,1,1,1,1,2-keto-4-methylthiobutyrate transamination ; s_0294 + s_0991 --> s_0180 + s_1029 ; forward ; 2.6.1.39|2.6.1.42|2.6.1.57|2.6.1.7 ; YHR208W or YJR148W or YGL202W or YHR137W
