reaction_uid,model_reaction_id,reaction_name,model_equation,direction,lower_bound,upper_bound,reactant_compound_uids,product_compound_uids,stoichiometry_json,genes,orfs,gpr,enzyme_evidence_rows,enzyme_protein_ids,enzyme_orfs,enzyme_gene_symbols,enzyme_ec_numbers,enzyme_confidence_levels,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,external_database_crossrefs_compact,all_crossrefs_compact,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,export_group,label_source,usable_as_first_pass_training_label
MODEL_RXN:0000006,r_0006,"1,6-beta-glucan synthase",s_1543 --> s_0004 + s_0794 + s_1538,forward,0.0,1000.0,MODEL_CMPD:0001188,MODEL_CMPD:0000004|MODEL_CMPD:0000601|MODEL_CMPD:0001183,"{""s_0004"": 1, ""s_0794"": 1, ""s_1538"": 1, ""s_1543"": -1}",KRE6|SKN1,YGR143W|YPR159W,YGR143W or YPR159W,2,P32486|P33336,YGR143W|YPR159W,KRE6|SKN1,,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000009,r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",s_0311 + 3 s_0803 --> s_0294 + s_0722 + 6 s_0794 + s_1322,forward,0.0,1000.0,MODEL_CMPD:0000220|MODEL_CMPD:0000610,MODEL_CMPD:0000203|MODEL_CMPD:0000547|MODEL_CMPD:0000601|MODEL_CMPD:0001035,"{""s_0294"": 1, ""s_0311"": -1, ""s_0722"": 1, ""s_0794"": 6, ""s_0803"": -3, ""s_1322"": 1}",ADI1|UTR4,YEL038W|YMR009W,YEL038W and YMR009W,2,P32626|Q03677,YEL038W|YMR009W,ADI1|UTR4,1.13.11.53|1.13.11.54|3.1.3.77,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000043,r_0059,3-isopropylmalate 3-methyltransferase,s_0009 + s_1416 --> s_0217 + s_1413,forward,0.0,1000.0,MODEL_CMPD:0000008|MODEL_CMPD:0001093,MODEL_CMPD:0000156|MODEL_CMPD:0001091,"{""s_0009"": -1, ""s_0217"": 1, ""s_1413"": 1, ""s_1416"": -1}",TMT1,YER175C,YER175C,1,P32643,YER175C,TMT1,2.1.1.145,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000057,r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",s_0279 + s_0434 + s_0794 --> s_0263 + s_0394,forward,0.0,1000.0,MODEL_CMPD:0000190|MODEL_CMPD:0000324|MODEL_CMPD:0000601,MODEL_CMPD:0000179|MODEL_CMPD:0000288,"{""s_0263"": 1, ""s_0279"": -1, ""s_0394"": 1, ""s_0434"": -1, ""s_0794"": -1}",KCS1,YDR017C,YDR017C,1,Q12494,YDR017C,KCS1,2.7.4.21,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000071,r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",s_0318 + 2 s_0794 + s_1322 <=> s_0263 + s_0803,reversible,-1000.0,1000.0,MODEL_CMPD:0000227|MODEL_CMPD:0000601|MODEL_CMPD:0001035,MODEL_CMPD:0000179|MODEL_CMPD:0000610,"{""s_0263"": 1, ""s_0318"": -1, ""s_0794"": -2, ""s_0803"": 1, ""s_1322"": -1}",VIP1,YLR410W,YLR410W,1,Q06685,YLR410W,VIP1,2.7.4.24,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000072,r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",s_0318 + 2 s_0794 + s_1322 <=> s_0309 + s_0803,reversible,-1000.0,1000.0,MODEL_CMPD:0000227|MODEL_CMPD:0000601|MODEL_CMPD:0001035,MODEL_CMPD:0000218|MODEL_CMPD:0000610,"{""s_0309"": 1, ""s_0318"": -1, ""s_0794"": -2, ""s_0803"": 1, ""s_1322"": -1}",VIP1,YLR410W,YLR410W,1,Q06685,YLR410W,VIP1,2.7.4.24,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000076,r_0093,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",s_0333 + s_0434 + s_0794 --> s_0309 + s_0394,forward,0.0,1000.0,MODEL_CMPD:0000242|MODEL_CMPD:0000324|MODEL_CMPD:0000601,MODEL_CMPD:0000218|MODEL_CMPD:0000288,"{""s_0309"": 1, ""s_0333"": -1, ""s_0394"": 1, ""s_0434"": -1, ""s_0794"": -1}",KCS1,YDR017C,YDR017C,1,Q12494,YDR017C,KCS1,2.7.4.21,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000079,r_0096,acetohydroxy acid isomeroreductase,s_0146 + s_0799 + s_1214 --> s_0016 + s_1210,forward,0.0,1000.0,MODEL_CMPD:0000094|MODEL_CMPD:0000606|MODEL_CMPD:0000957,MODEL_CMPD:0000015|MODEL_CMPD:0000953,"{""s_0016"": 1, ""s_0146"": -1, ""s_0799"": -1, ""s_1210"": 1, ""s_1214"": -1}",ILV5,YLR355C,YLR355C,1,P06168,YLR355C,ILV5,1.1.1.86,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000107,r_0126,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane",s_2821 + s_3432 <=> s_2785 + s_3433,reversible,-1000.0,1000.0,MODEL_CMPD:0001319|MODEL_CMPD:0001926,MODEL_CMPD:0001283|MODEL_CMPD:0001927,"{""s_2785"": 1, ""s_2821"": -1, ""s_3432"": -1, ""s_3433"": 1}",ARE1,YCR048W,YCR048W,1,P25628,YCR048W,ARE1,2.3.1.-,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000109,r_0128,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane",s_2821 + s_3435 <=> s_2785 + s_3436,reversible,-1000.0,1000.0,MODEL_CMPD:0001319|MODEL_CMPD:0001929,MODEL_CMPD:0001283|MODEL_CMPD:0001930,"{""s_2785"": 1, ""s_2821"": -1, ""s_3435"": -1, ""s_3436"": 1}",ARE1,YCR048W,YCR048W,1,P25628,YCR048W,ARE1,2.3.1.-,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
MODEL_RXN:0000111,r_0130,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane",s_2821 + s_3444 <=> s_2785 + s_3445,reversible,-1000.0,1000.0,MODEL_CMPD:0001319|MODEL_CMPD:0001938,MODEL_CMPD:0001283|MODEL_CMPD:0001939,"{""s_2785"": 1, ""s_2821"": -1, ""s_3444"": -1, ""s_3445"": 1}",ARE1,YCR048W,YCR048W,1,P25628,YCR048W,ARE1,2.3.1.-,high,,,,SBO:0000176,,SBO:0000176,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,model_context_only,model_without_external_crossref,False
