model_reaction_id,reaction_name,model_equation,negative_sample_role,reason,gpr,orfs,enzyme_ec_numbers
r_0006,"1,6-beta-glucan synthase",s_1543 --> s_0004 + s_0794 + s_1538,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YGR143W or YPR159W,YGR143W|YPR159W,
r_0059,3-isopropylmalate 3-methyltransferase,s_0009 + s_1416 --> s_0217 + s_1413,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER175C,YER175C,2.1.1.145
r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",s_0279 + s_0434 + s_0794 --> s_0263 + s_0394,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YDR017C,YDR017C,2.7.4.21
r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",s_0318 + 2 s_0794 + s_1322 <=> s_0263 + s_0803,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YLR410W,YLR410W,2.7.4.24
r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",s_0318 + 2 s_0794 + s_1322 <=> s_0309 + s_0803,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YLR410W,YLR410W,2.7.4.24
r_0093,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",s_0333 + s_0434 + s_0794 --> s_0309 + s_0394,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YDR017C,YDR017C,2.7.4.21
r_0096,acetohydroxy acid isomeroreductase,s_0146 + s_0799 + s_1214 --> s_0016 + s_1210,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YLR355C,YLR355C,1.1.1.86
r_0126,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane",s_2821 + s_3432 <=> s_2785 + s_3433,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YCR048W,YCR048W,2.3.1.-
r_0128,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane",s_2821 + s_3435 <=> s_2785 + s_3436,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YCR048W,YCR048W,2.3.1.-
r_0130,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane",s_2821 + s_3444 <=> s_2785 + s_3445,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YCR048W,YCR048W,2.3.1.-
r_0131,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",s_2819 + s_3432 <=> s_2785 + s_3434,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YCR048W,YCR048W,2.3.1.-
r_0132,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",s_2819 + s_3441 <=> s_2785 + s_3443,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YCR048W or YNR019W,YCR048W|YNR019W,2.3.1.-
r_0133,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",s_2819 + s_3435 <=> s_2785 + s_3437,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YCR048W,YCR048W,2.3.1.-
r_0134,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane",s_2819 + s_3438 <=> s_2785 + s_3440,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YCR048W,YCR048W,2.3.1.-
r_0135,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane",s_2819 + s_3444 <=> s_2785 + s_3446,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YCR048W,YCR048W,2.3.1.-
r_0234,C-3 sterol dehydrogenase,s_1207 + s_1578 --> s_0456 + s_1212 + s_1579,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YGL001C,YGL001C,1.1.1.170
r_0240,C-4 methyl sterol oxidase,s_1212 + s_1275 + s_1577 --> s_0803 + s_1207 + s_1578,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YGR060W,YGR060W,1.14.18.-
r_0289,cis-prenyltransferase step 09,s_0944 + s_1549 --> s_0635 + s_0641,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0290,cis-prenyltransferase step 10,s_0641 + s_0944 --> s_0635 + s_1523,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0291,cis-prenyltransferase step 11,s_0944 + s_1523 --> s_0635 + s_1483,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0292,cis-prenyltransferase step 12,s_0944 + s_1483 --> s_0635 + s_1310,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0293,cis-prenyltransferase step 13,s_0944 + s_1310 --> s_0635 + s_0829,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0294,cis-prenyltransferase step 14,s_0829 + s_0944 <=> s_0635 + s_0814,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0295,cis-prenyltransferase step 15,s_0814 + s_0944 <=> s_0635 + s_1246,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0296,cis-prenyltransferase step 16,s_0944 + s_1246 --> s_0635 + s_1229,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0297,cis-prenyltransferase step 17,s_0944 + s_1229 --> s_0635 + s_0845,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0298,cis-prenyltransferase step 18,s_0845 + s_0944 --> s_0635 + s_0813,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0299,cis-prenyltransferase step 19,s_0813 + s_0944 --> s_0635 + s_0640,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR002C or YMR101C,YBR002C|YMR101C,2.5.1.87
r_0341,dihydroceramidase,s_0507 + s_1445 <=> s_0478 + s_0804,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPL087W,YPL087W,3.5.1.-
r_0357,"diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase",s_0309 + 3 s_0803 --> 3 s_0794 + s_1156 + 3 s_1322,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YOR163W,YOR163W,3.6.1.10|3.6.1.52|3.6.1.60
r_0358,"diphosphoinositol-1,3,4,6-tetrakisphosphate synthase",s_0434 + 2 s_0794 + s_1156 + 2 s_1322 --> s_0309 + s_0394 + 2 s_0803,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YDR017C,YDR017C,2.7.4.21
r_0596,IPS phospholipase C,s_0804 + s_1116 --> s_0475 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0597,IPS phospholipase C,s_0804 + s_1119 --> s_0478 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0598,IPS phospholipase C,s_0804 + s_1128 --> s_0487 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0599,IPS phospholipase C,s_0804 + s_1131 --> s_0490 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0600,IPS phospholipase C,s_0804 + s_1122 --> s_0481 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0601,IPS phospholipase C,s_0804 + s_1125 --> s_0484 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
