reaction_uid,model_reaction_id,reaction_name,model_equation,direction,lower_bound,upper_bound,reactant_compound_uids,product_compound_uids,stoichiometry_json,genes,orfs,gpr,enzyme_evidence_rows,enzyme_protein_ids,enzyme_orfs,enzyme_gene_symbols,enzyme_ec_numbers,enzyme_confidence_levels,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,external_database_crossrefs_compact,all_crossrefs_compact,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,export_group,label_source,usable_as_first_pass_training_label,split_pool,split_key,split_hash_bucket,split
MODEL_RXN:0000001,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0025 + 2 s_0709 --> 2 s_0710 + s_1399,forward,0.0,1000.0,MODEL_CMPD:0000024|MODEL_CMPD:0000536,MODEL_CMPD:0000537|MODEL_CMPD:0001078,"{""s_0025"": -1, ""s_0709"": -2, ""s_0710"": 2, ""s_1399"": 1}",CYC1|CYC7|DLD1|DLD3,YDL174C|YEL039C|YEL071W|YJR048W,(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W),4,P00044|P00045|P32891|P39976,YDL174C|YEL039C|YEL071W|YJR048W,CYC1|CYC7|DLD1|DLD3,1.1.2.4|1.1.99.40,high,MNXR138960,R00197,D_LACDcm,SBO:0000176,D_LACDcm|MNXR138960|R00197,D_LACDcm|MNXR138960|R00197|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0025 + 2 s_0709 --> 2 s_0710 + s_1399,95,test
MODEL_RXN:0000002,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0027 + 2 s_0709 --> 2 s_0710 + s_1401,forward,0.0,1000.0,MODEL_CMPD:0000026|MODEL_CMPD:0000536,MODEL_CMPD:0000537|MODEL_CMPD:0001080,"{""s_0027"": -1, ""s_0709"": -2, ""s_0710"": 2, ""s_1401"": 1}",CYC1|CYC7|DLD2,YDL178W|YEL039C|YJR048W,(YDL178W and YEL039C) or (YDL178W and YJR048W),3,P00044|P00045|P46681,YDL178W|YEL039C|YJR048W,CYC1|CYC7|DLD2,1.1.2.4|1.1.99.40,high,MNXR138960,R00197,D_LACDm,SBO:0000176,D_LACDm|MNXR138960|R00197,D_LACDm|MNXR138960|R00197|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0027 + 2 s_0709 --> 2 s_0710 + s_1401,7,train
MODEL_RXN:0000003,r_0003,"(R,R)-butanediol dehydrogenase",s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203,reversible,-1000.0,1000.0,MODEL_CMPD:0000034|MODEL_CMPD:0000942,MODEL_CMPD:0000019|MODEL_CMPD:0000601|MODEL_CMPD:0000947,"{""s_0020"": 1, ""s_0035"": -1, ""s_0794"": 1, ""s_1198"": -1, ""s_1203"": 1}",BDH1,YAL060W,YAL060W,1,P39714,YAL060W,BDH1,1.1.1.4,high,MNXR107844,R02946,BTDD_RR,SBO:0000176,BTDD_RR|MNXR107844|R02946,BTDD_RR|MNXR107844|R02946|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203,25,train
MODEL_RXN:0000004,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,s_0063 + 2 s_0709 --> 2 s_0710 + s_1399,forward,0.0,1000.0,MODEL_CMPD:0000049|MODEL_CMPD:0000536,MODEL_CMPD:0000537|MODEL_CMPD:0001078,"{""s_0063"": -1, ""s_0709"": -2, ""s_0710"": 2, ""s_1399"": 1}",CYB2|CYC1|CYC7,YEL039C|YJR048W|YML054C,(YEL039C and YML054C) or (YJR048W and YML054C),3,P00044|P00045|P00175,YEL039C|YJR048W|YML054C,CYB2|CYC1|CYC7,1.1.2.3,high,MNXR138959,R00196,L_LACD2cm,SBO:0000176,L_LACD2cm|MNXR138959|R00196,L_LACD2cm|MNXR138959|R00196|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0063 + 2 s_0709 --> 2 s_0710 + s_1399,89,dev
MODEL_RXN:0000005,r_0005,"1,3-beta-glucan synthase",s_1543 --> s_0001 + s_0794 + s_1538,forward,0.0,1000.0,MODEL_CMPD:0001188,MODEL_CMPD:0000001|MODEL_CMPD:0000601|MODEL_CMPD:0001183,"{""s_0001"": 1, ""s_0794"": 1, ""s_1538"": 1, ""s_1543"": -1}",FKS1|FKS3|GSC2|RHO1,YGR032W|YLR342W|YMR306W|YPR165W,(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W),4,P06780|P38631|P40989|Q04952,YGR032W|YLR342W|YMR306W|YPR165W,FKS1|FKS3|GSC2|RHO1,2.4.1.34|3.6.5.2,high,MNXR143499,R03118,,SBO:0000176,MNXR143499|R03118,MNXR143499|R03118|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_1543 --> s_0001 + s_0794 + s_1538,38,train
MODEL_RXN:0000007,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,s_0077 --> s_0312,forward,0.0,1000.0,MODEL_CMPD:0000058,MODEL_CMPD:0000221,"{""s_0077"": -1, ""s_0312"": 1}",HIS6,YIL020C,YIL020C,1,P40545,YIL020C,HIS6,5.3.1.16,high,MNXR103169,R04640,PRMICI,SBO:0000176,MNXR103169|PRMICI|R04640,MNXR103169|PRMICI|R04640|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0077 --> s_0312,45,train
MODEL_RXN:0000008,r_0012,1-pyrroline-5-carboxylate dehydrogenase,s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205,forward,0.0,1000.0,MODEL_CMPD:0000069|MODEL_CMPD:0000614|MODEL_CMPD:0000944,MODEL_CMPD:0000606|MODEL_CMPD:0000786|MODEL_CMPD:0000949,"{""s_0119"": -1, ""s_0799"": 1, ""s_0807"": -2, ""s_0993"": 1, ""s_1200"": -1, ""s_1205"": 1}",PUT2,YHR037W,YHR037W,1,P07275,YHR037W,PUT2,1.2.1.88,high,MNXR102301,R00707,P5CDm,SBO:0000176,MNXR102301|P5CDm|R00707,MNXR102301|P5CDm|R00707|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205,53,train
MODEL_RXN:0000010,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",s_0142 + s_0794 + s_0803 --> s_0313 + s_0419,forward,0.0,1000.0,MODEL_CMPD:0000090|MODEL_CMPD:0000601|MODEL_CMPD:0000610,MODEL_CMPD:0000222|MODEL_CMPD:0000310,"{""s_0142"": -1, ""s_0313"": 1, ""s_0419"": 1, ""s_0794"": -1, ""s_0803"": -1}",RIB2,YOL066C,YOL066C,1,Q12362,YOL066C,RIB2,3.5.4.26|5.4.99.28,high,MNXR112805,R09377,DRTPPD,SBO:0000176,DRTPPD|MNXR112805|R09377,DRTPPD|MNXR112805|R09377|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0142 + s_0794 + s_0803 --> s_0313 + s_0419,21,train
MODEL_RXN:0000011,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",s_0141 + s_0794 + s_1212 --> s_0142 + s_1207,forward,0.0,1000.0,MODEL_CMPD:0000089|MODEL_CMPD:0000601|MODEL_CMPD:0000955,MODEL_CMPD:0000090|MODEL_CMPD:0000951,"{""s_0141"": -1, ""s_0142"": 1, ""s_0794"": -1, ""s_1207"": 1, ""s_1212"": -1}",RIB7,YBR153W,YBR153W,1,P33312,YBR153W,RIB7,1.1.1.302,high,MNXR112804,R09376,,SBO:0000176,MNXR112804|R09376,MNXR112804|R09376|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0141 + s_0794 + s_1212 --> s_0142 + s_1207,39,train
MODEL_RXN:0000012,r_0016,2-aceto-2-hydroxybutanoate synthase,s_0179 + s_0799 + s_1401 --> s_0039 + s_0460,forward,0.0,1000.0,MODEL_CMPD:0000123|MODEL_CMPD:0000606|MODEL_CMPD:0001080,MODEL_CMPD:0000038|MODEL_CMPD:0000346,"{""s_0039"": 1, ""s_0179"": -1, ""s_0460"": 1, ""s_0799"": -1, ""s_1401"": -1}",ILV2|ILV6,YCL009C|YMR108W,(YCL009C and YMR108W) or YMR108W,2,P07342|P25605,YCL009C|YMR108W,ILV2|ILV6,2.2.1.6,high,MNXR95260,R08648,ACHBSm,SBO:0000176,ACHBSm|MNXR95260|R08648,ACHBSm|MNXR95260|R08648|SBO:0000176,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,first_pass_reference_label,external_database_crossref,True,reference_only,equation:s_0179 + s_0799 + s_1401 --> s_0039 + s_0460,87,dev
