reaction_uid,model_reaction_id,reaction_name,model_equation,direction,lower_bound,upper_bound,reactant_compound_uids,product_compound_uids,stoichiometry_json,genes,orfs,gpr,enzyme_evidence_rows,enzyme_protein_ids,enzyme_orfs,enzyme_gene_symbols,enzyme_ec_numbers,enzyme_confidence_levels,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,external_database_crossrefs_compact,all_crossrefs_compact,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,export_group,label_source,usable_as_first_pass_training_label
MODEL_RXN:0007462,rxnu102,rxnu102,snu_100 --> snu_102,forward,0.0,1000.0,MODEL_CMPD:0003202,MODEL_CMPD:0003203,"{""snu_100"": -1, ""snu_102"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007463,rxnu105,rxnu105,snu_103 --> snu_105,forward,0.0,1000.0,MODEL_CMPD:0003204,MODEL_CMPD:0003205,"{""snu_103"": -1, ""snu_105"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007464,rxnu108,rxnu108,snu_106 --> snu_108,forward,0.0,1000.0,MODEL_CMPD:0003206,MODEL_CMPD:0003207,"{""snu_106"": -1, ""snu_108"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007465,rxnu111,rxnu111,snu_109 --> snu_111,forward,0.0,1000.0,MODEL_CMPD:0003208,MODEL_CMPD:0003209,"{""snu_109"": -1, ""snu_111"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007466,rxnu114,rxnu114,snu_112 --> snu_114,forward,0.0,1000.0,MODEL_CMPD:0003210,MODEL_CMPD:0003211,"{""snu_112"": -1, ""snu_114"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007467,rxnu117,rxnu117,snu_115 --> snu_117,forward,0.0,1000.0,MODEL_CMPD:0003212,MODEL_CMPD:0003213,"{""snu_115"": -1, ""snu_117"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007468,rxnu12,rxnu12,snu_10 --> snu_12,forward,0.0,1000.0,MODEL_CMPD:0003201,MODEL_CMPD:0003215,"{""snu_10"": -1, ""snu_12"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007469,rxnu120,rxnu120,snu_118 --> snu_120,forward,0.0,1000.0,MODEL_CMPD:0003214,MODEL_CMPD:0003216,"{""snu_118"": -1, ""snu_120"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007470,rxnu123,rxnu123,snu_121 --> snu_123,forward,0.0,1000.0,MODEL_CMPD:0003217,MODEL_CMPD:0003218,"{""snu_121"": -1, ""snu_123"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007471,rxnu126,rxnu126,snu_124 --> snu_126,forward,0.0,1000.0,MODEL_CMPD:0003219,MODEL_CMPD:0003220,"{""snu_124"": -1, ""snu_126"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007472,rxnu129,rxnu129,snu_127 --> snu_129,forward,0.0,1000.0,MODEL_CMPD:0003221,MODEL_CMPD:0003222,"{""snu_127"": -1, ""snu_129"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007473,rxnu132,rxnu132,snu_130 --> snu_132,forward,0.0,1000.0,MODEL_CMPD:0003224,MODEL_CMPD:0003225,"{""snu_130"": -1, ""snu_132"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007474,rxnu135,rxnu135,snu_133 --> snu_135,forward,0.0,1000.0,MODEL_CMPD:0003226,MODEL_CMPD:0003227,"{""snu_133"": -1, ""snu_135"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007475,rxnu138,rxnu138,snu_136 --> snu_138,forward,0.0,1000.0,MODEL_CMPD:0003228,MODEL_CMPD:0003229,"{""snu_136"": -1, ""snu_138"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007476,rxnu141,rxnu141,snu_139 --> snu_141,forward,0.0,1000.0,MODEL_CMPD:0003230,MODEL_CMPD:0003231,"{""snu_139"": -1, ""snu_141"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007477,rxnu144,rxnu144,snu_142 --> snu_144,forward,0.0,1000.0,MODEL_CMPD:0003232,MODEL_CMPD:0003233,"{""snu_142"": -1, ""snu_144"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007478,rxnu147,rxnu147,snu_145 --> snu_147,forward,0.0,1000.0,MODEL_CMPD:0003234,MODEL_CMPD:0003235,"{""snu_145"": -1, ""snu_147"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007479,rxnu15,rxnu15,snu_13 --> snu_15,forward,0.0,1000.0,MODEL_CMPD:0003223,MODEL_CMPD:0003237,"{""snu_13"": -1, ""snu_15"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007480,rxnu150,rxnu150,snu_148 --> snu_150,forward,0.0,1000.0,MODEL_CMPD:0003236,MODEL_CMPD:0003238,"{""snu_148"": -1, ""snu_150"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007481,rxnu153,rxnu153,snu_151 --> snu_153,forward,0.0,1000.0,MODEL_CMPD:0003239,MODEL_CMPD:0003240,"{""snu_151"": -1, ""snu_153"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007482,rxnu18,rxnu18,snu_16 --> snu_18,forward,0.0,1000.0,MODEL_CMPD:0003241,MODEL_CMPD:0003242,"{""snu_16"": -1, ""snu_18"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007483,rxnu21,rxnu21,snu_19 --> snu_21,forward,0.0,1000.0,MODEL_CMPD:0003243,MODEL_CMPD:0003244,"{""snu_19"": -1, ""snu_21"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007484,rxnu24,rxnu24,snu_22 --> snu_24,forward,0.0,1000.0,MODEL_CMPD:0003245,MODEL_CMPD:0003246,"{""snu_22"": -1, ""snu_24"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007485,rxnu27,rxnu27,snu_25 --> snu_27,forward,0.0,1000.0,MODEL_CMPD:0003247,MODEL_CMPD:0003248,"{""snu_25"": -1, ""snu_27"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007486,rxnu3,rxnu3,snu_1 --> snu_3,forward,0.0,1000.0,MODEL_CMPD:0003200,MODEL_CMPD:0003250,"{""snu_1"": -1, ""snu_3"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007487,rxnu30,rxnu30,snu_28 --> snu_30,forward,0.0,1000.0,MODEL_CMPD:0003249,MODEL_CMPD:0003251,"{""snu_28"": -1, ""snu_30"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007488,rxnu33,rxnu33,snu_31 --> snu_33,forward,0.0,1000.0,MODEL_CMPD:0003252,MODEL_CMPD:0003253,"{""snu_31"": -1, ""snu_33"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007489,rxnu36,rxnu36,snu_34 --> snu_36,forward,0.0,1000.0,MODEL_CMPD:0003254,MODEL_CMPD:0003255,"{""snu_34"": -1, ""snu_36"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007490,rxnu39,rxnu39,snu_37 --> snu_39,forward,0.0,1000.0,MODEL_CMPD:0003256,MODEL_CMPD:0003257,"{""snu_37"": -1, ""snu_39"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007491,rxnu42,rxnu42,snu_40 --> snu_42,forward,0.0,1000.0,MODEL_CMPD:0003259,MODEL_CMPD:0003260,"{""snu_40"": -1, ""snu_42"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007492,rxnu45,rxnu45,snu_43 --> snu_45,forward,0.0,1000.0,MODEL_CMPD:0003261,MODEL_CMPD:0003262,"{""snu_43"": -1, ""snu_45"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007493,rxnu48,rxnu48,snu_46 --> snu_48,forward,0.0,1000.0,MODEL_CMPD:0003263,MODEL_CMPD:0003264,"{""snu_46"": -1, ""snu_48"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007494,rxnu51,rxnu51,snu_49 --> snu_51,forward,0.0,1000.0,MODEL_CMPD:0003265,MODEL_CMPD:0003266,"{""snu_49"": -1, ""snu_51"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007495,rxnu54,rxnu54,snu_52 --> snu_54,forward,0.0,1000.0,MODEL_CMPD:0003267,MODEL_CMPD:0003268,"{""snu_52"": -1, ""snu_54"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
