scenario,route,objective_id,biomass_floor,status,objective_value,nonzero_key_fluxes_json
target_demand_only,none,DM_s_1507,,optimal,0.14009110198522634,"{""DM_s_1507"": 0.14009110198522634, ""r_0120"": 0.14009110198522634}"
target_demand_only,none,DM_CAND_T2DEC_P,,optimal,0.0,{}
target_demand_only,none,DM_CAND_10H2DA_P,,optimal,0.0,{}
target_demand_only,none,DM_s_1507,0.00895347449601068,optimal,0.12630963095630746,"{""DM_s_1507"": 0.12630963095630746, ""r_0120"": 0.12630963095630746}"
target_demand_only,none,DM_CAND_T2DEC_P,0.00895347449601068,optimal,0.0,{}
target_demand_only,none,DM_CAND_10H2DA_P,0.00895347449601068,optimal,0.0,{}
free_acid_terminal_route,free_acid,DM_s_1507,,optimal,0.14009110198522579,"{""DM_s_1507"": 0.14009110198522579, ""r_0120"": 0.14009110198522579}"
free_acid_terminal_route,free_acid,DM_CAND_T2DEC_P,,optimal,0.31077117987940894,"{""CAND_T2DEC_THIOESTERASE_P"": 0.31077117987940894, ""DM_CAND_T2DEC_P"": 0.31077117987940894, ""r_0120"": 0.31077117987940894}"
free_acid_terminal_route,free_acid,DM_CAND_10H2DA_P,,optimal,0.30272419782429993,"{""CAND_T2DEC_OMEGA_HYDROXYLASE_P"": 0.30272419782429993, ""CAND_T2DEC_THIOESTERASE_P"": 0.30272419782429993, ""DM_CAND_10H2DA_P"": 0.30272419782429993, ""r_0120"": 0.30272419782429993}"
free_acid_terminal_route,free_acid,DM_s_1507,0.008953474496010713,optimal,0.1263096344039321,"{""DM_s_1507"": 0.1263096344039321, ""r_0120"": 0.1263096344039321}"
free_acid_terminal_route,free_acid,DM_CAND_T2DEC_P,0.008953474496010713,optimal,0.28134133917428455,"{""CAND_T2DEC_THIOESTERASE_P"": 0.28134133917428455, ""DM_CAND_T2DEC_P"": 0.28134133917428455, ""r_0120"": 0.28134133917428455}"
free_acid_terminal_route,free_acid,DM_CAND_10H2DA_P,0.008953474496010713,optimal,0.27401121243284626,"{""CAND_T2DEC_OMEGA_HYDROXYLASE_P"": 0.27401121243284626, ""CAND_T2DEC_THIOESTERASE_P"": 0.27401121243284626, ""DM_CAND_10H2DA_P"": 0.27401121243284626, ""r_0120"": 0.27401121243284626}"
coa_bound_terminal_route,coa_bound,DM_s_1507,,optimal,0.1400911019852266,"{""DM_s_1507"": 0.1400911019852266, ""r_0120"": 0.1400911019852266}"
coa_bound_terminal_route,coa_bound,DM_CAND_T2DEC_P,,optimal,0.0,{}
coa_bound_terminal_route,coa_bound,DM_CAND_10H2DA_P,,optimal,0.3027241978242994,"{""CAND_10H2DA_COA_THIOESTERASE_P"": 0.3027241978242993, ""CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P"": 0.3027241978242993, ""DM_CAND_10H2DA_P"": 0.3027241978242994, ""r_0120"": 0.3027241978242993}"
coa_bound_terminal_route,coa_bound,DM_s_1507,0.00895347449601072,optimal,0.12630963095630782,"{""DM_s_1507"": 0.12630963095630782, ""r_0120"": 0.12630963095630782}"
coa_bound_terminal_route,coa_bound,DM_CAND_T2DEC_P,0.00895347449601072,optimal,0.0,{}
coa_bound_terminal_route,coa_bound,DM_CAND_10H2DA_P,0.00895347449601072,optimal,0.2740112052121917,"{""CAND_10H2DA_COA_THIOESTERASE_P"": 0.27401120521219163, ""CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P"": 0.27401120521219163, ""DM_CAND_10H2DA_P"": 0.2740112052121917, ""r_0120"": 0.27401120521219163}"
combined_terminal_routes,combined,DM_s_1507,,optimal,0.14009110198522712,"{""DM_s_1507"": 0.14009110198522712, ""r_0120"": 0.14009110198522712}"
combined_terminal_routes,combined,DM_CAND_T2DEC_P,,optimal,0.3107711798794087,"{""CAND_T2DEC_THIOESTERASE_P"": 0.3107711798794087, ""DM_CAND_T2DEC_P"": 0.3107711798794087, ""r_0120"": 0.3107711798794087}"
combined_terminal_routes,combined,DM_CAND_10H2DA_P,,optimal,0.30272419782429894,"{""CAND_10H2DA_COA_THIOESTERASE_P"": 0.30272419782429894, ""CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P"": 0.30272419782429894, ""DM_CAND_10H2DA_P"": 0.30272419782429894, ""r_0120"": 0.30272419782429894}"
combined_terminal_routes,combined,DM_s_1507,0.008953474496010727,optimal,0.12630963095630854,"{""DM_s_1507"": 0.12630963095630854, ""r_0120"": 0.12630963095630854}"
combined_terminal_routes,combined,DM_CAND_T2DEC_P,0.008953474496010727,optimal,0.28134133176046977,"{""CAND_T2DEC_THIOESTERASE_P"": 0.2813413317604697, ""DM_CAND_T2DEC_P"": 0.28134133176046977, ""r_0120"": 0.2813413317604697}"
combined_terminal_routes,combined,DM_CAND_10H2DA_P,0.008953474496010727,optimal,0.2740112052121955,"{""CAND_10H2DA_COA_THIOESTERASE_P"": 0.2740112052121955, ""CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P"": 0.2740112052121955, ""DM_CAND_10H2DA_P"": 0.2740112052121955, ""r_0120"": 0.2740112052121955}"
