route,step1_reaction,step1_entry,step1_origin,step1_family,step2_reaction,step2_entry,step2_origin,step2_family,mean_engineering_priority_score,route_risk_note,p450_entry,p450_system_type,redox_partner_requirement,host_context_class,substrate_fit_score,p450_engineering_feasibility_score,recommended_p450_action,combined_design_feasibility_score
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,13.010323,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,5,23.746839,high_priority_test_with_yeast_cpr_or_cognate_cpr,24.883743
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.126506,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,4,23.109512,high_priority_test_with_yeast_cpr_or_cognate_cpr,24.681262
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,12.038377,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,5,23.746839,high_priority_test_with_yeast_cpr_or_cognate_cpr,23.911797
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,12.013361,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,5,23.746839,high_priority_test_with_yeast_cpr_or_cognate_cpr,23.88678
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,11.916048,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,5,23.746839,high_priority_test_with_yeast_cpr_or_cognate_cpr,23.789467
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,12.087576,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,4,23.109512,high_priority_test_with_yeast_cpr_or_cognate_cpr,23.642332
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,12.077339,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,4,23.109512,high_priority_test_with_yeast_cpr_or_cognate_cpr,23.632095
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,11.960706,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,4,23.109512,high_priority_test_with_yeast_cpr_or_cognate_cpr,23.515462
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,10.929495,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,5,23.746839,high_priority_test_with_yeast_cpr_or_cognate_cpr,22.802914
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,B8QHP1,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,10.985845,external hydroxylase requires heterologous expression and redox partner handling,B8QHP1,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,yeast_or_close_fungal_external,4,23.109512,high_priority_test_with_yeast_cpr_or_cognate_cpr,22.540601
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.446551,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.749602,secondary_priority_high_activity_but_expression_risk,21.821352
