candidate_reaction_id,reaction_name,entry,orf,gene_names,protein_names,ec_number,substrate_name,substrate_smiles_source,pu_reference_likeness_score,external_evidence_tier,local_validation_verdict,local_model_support,local_validation_reason,best_candidate_fba_flux,unikp_log10_kcat,unikp_pred_kcat,unikp_log10_Km,unikp_pred_Km,unikp_log10_kcat_Km,unikp_pred_kcat_Km,organism,candidate_origin,enzyme_family_sanity_class,enzyme_family_sanity_reason,enzyme_family_sanity_score,engineering_priority_score,external_sequence_source,external_panel_note,p450_system_type,redox_partner_requirement,redox_partner_score,localization_expectation,expression_risk,expression_risk_score,system_rationale,substrate_fit_score,substrate_fit_rationale,host_context_class,host_context_score,host_context_rationale,p450_engineering_feasibility_score,recommended_p450_action
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,B8QHP1,B8QHP1,cyp52M1,Cytochrome P450 52-M1; fatty acid omega-hydroxylase,1.14.14.80,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,-0.06377347896561425,0.8634287809397361,-1.1783934283340447,0.06631420563539069,0.7468390678482422,5.582632863745472,Starmerella bombicola,external_uniprot_curated_panel,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.135930207491949,UniProtKB B8QHP1 FASTA,CYP52 yeast fatty-acid omega-hydroxylase evidence record,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,4,ER_membrane_associated_P450_likely,medium,4,Fungal/yeast CYP52 fatty-acid hydroxylases are closer to yeast expression context but still need redox partner handling.,5,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need,yeast_or_close_fungal_external,5,yeast/fungal origin is favorable for heterologous expression in S. cerevisiae,23.746839,high_priority_test_with_yeast_cpr_or_cognate_cpr
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,B8QHP1,B8QHP1,cyp52M1,Cytochrome P450 52-M1; fatty acid omega-hydroxylase,1.14.14.80,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,0.48336109665197946,3.043414438472346,-1.3886479123660118,0.04086505498727662,1.109511757720228,12.868020903458088,Starmerella bombicola,external_uniprot_curated_panel,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.4471560827249,UniProtKB B8QHP1 FASTA,CYP52 yeast fatty-acid omega-hydroxylase evidence record,fungal_cyp52_microsomal_p450,requires_cpr_or_compatible_yeast_p450_reductase,4,ER_membrane_associated_P450_likely,medium,4,Fungal/yeast CYP52 fatty-acid hydroxylases are closer to yeast expression context but still need redox partner handling.,4,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need; CoA-bound substrate adds uncertainty because many omega-hydroxylase records are free-fatty-acid oriented,yeast_or_close_fungal_external,5,yeast/fungal origin is favorable for heterologous expression in S. cerevisiae,23.109512,high_priority_test_with_yeast_cpr_or_cognate_cpr
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,Q9Y8G7,Q9Y8G7,cyp505,Bifunctional cytochrome P450/NADPH--P450 reductase; P450foxy; fatty acid omega-hydroxylase,1.14.14.1,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,0.7605687192827194,5.761939836711613,-1.24753821018275,0.05655379976245811,1.0400949832934792,10.967180299525594,Fusarium oxysporum,external_uniprot_curated_panel,weak_name_or_cofactor_hit,name/cofactor hit is not a terminal hydroxylase family,1,5.429186122937186,UniProtKB Q9Y8G7 FASTA,self-sufficient fungal P450/P450 reductase evidence record,self_sufficient_cyp505,internal_reductase_domain,5,soluble_or_less_membrane_constrained_than_classic_microsomal_p450,medium,4,"CYP505/P450foxy-like enzymes include a fused reductase domain, reducing CPR compatibility risk.",5,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need,fungal_external,4,fungal origin is more plausible than mammalian P450 for yeast engineering,20.040095,high_priority_test_self_sufficient_p450
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,Q9Y8G7,Q9Y8G7,cyp505,Bifunctional cytochrome P450/NADPH--P450 reductase; P450foxy; fatty acid omega-hydroxylase,1.14.14.1,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,0.6497792246746154,4.464565764792087,-1.4764344898934612,0.033386086180661335,1.5288747567871417,33.79673580581504,Fusarium oxysporum,external_uniprot_curated_panel,weak_name_or_cofactor_hit,name/cofactor hit is not a terminal hydroxylase family,1,5.866519081791816,UniProtKB Q9Y8G7 FASTA,self-sufficient fungal P450/P450 reductase evidence record,self_sufficient_cyp505,internal_reductase_domain,5,soluble_or_less_membrane_constrained_than_classic_microsomal_p450,medium,4,"CYP505/P450foxy-like enzymes include a fused reductase domain, reducing CPR compatibility risk.",4,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need; CoA-bound substrate adds uncertainty because many omega-hydroxylase records are free-fatty-acid oriented,fungal_external,4,fungal origin is more plausible than mammalian P450 for yeast engineering,19.528875,high_priority_test_self_sufficient_p450
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,P54781,YMR015C,ERG5 CYP61 YMR015C YM9711.02C,C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5),1.14.19.41,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,no native exact enzyme found,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,-0.3177939200178401,0.4810675688910484,-1.553700778634235,0.02794468518469432,1.689868645206544,48.96307054270787,Saccharomyces cerevisiae,endogenous_s_cerevisiae,plausible_p450_or_cyp,P450/CYP family but exact C10 substrate unvalidated,4,11.027512970211218,,,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,3,native_localization_if_endogenous,medium,3,Endogenous CYP/P450-related hit lowers expression risk but does not establish fatty-acid omega-hydroxylation.,2,oxygenase chemistry exists but native substrate class is distant from free/CoA C10 acids,native_yeast,5,"native S. cerevisiae sequence, but activity may not match terminal hydroxylation",18.689869,low_expression_risk_but_activity_validation_required
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,P10614,YHR007C,ERG11 CYP51 YHR007C,Lanosterol 14-alpha demethylase CYP51 (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthetic protein 11) (Lanosterol C14-C32 lyase) (Sterol 14-alpha demethylase),1.14.14.154,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,no native exact enzyme found,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,0.053762935994554964,1.131782399798416,-1.3655187176587151,0.043100398176324654,1.6501787874082692,44.68675176801644,Saccharomyces cerevisiae,endogenous_s_cerevisiae,plausible_p450_or_cyp,P450/CYP family but exact C10 substrate unvalidated,4,10.987823112412942,,,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,3,native_localization_if_endogenous,medium,3,Endogenous CYP/P450-related hit lowers expression risk but does not establish fatty-acid omega-hydroxylation.,2,oxygenase chemistry exists but native substrate class is distant from free/CoA C10 acids,native_yeast,5,"native S. cerevisiae sequence, but activity may not match terminal hydroxylation",18.650179,low_expression_risk_but_activity_validation_required
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,P10614,YHR007C,ERG11 CYP51 YHR007C,Lanosterol 14-alpha demethylase CYP51 (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthetic protein 11) (Lanosterol C14-C32 lyase) (Sterol 14-alpha demethylase),1.14.14.154,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,B_exact_compound_context_no_enzyme_specificity,enzyme_class_support_only,no native exact enzyme found,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,0.2129080232191317,1.6327061296460483,-1.322942728301592,0.047539791393890446,0.993556945081821,9.852738243218148,Saccharomyces cerevisiae,endogenous_s_cerevisiae,plausible_p450_or_cyp,P450/CYP family but exact C10 substrate unvalidated,4,10.882648084725528,,,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,3,native_localization_if_endogenous,medium,3,Endogenous CYP/P450-related hit lowers expression risk but does not establish fatty-acid omega-hydroxylation.,2,oxygenase chemistry exists but native substrate class is distant from free/CoA C10 acids,native_yeast,5,"native S. cerevisiae sequence, but activity may not match terminal hydroxylation",17.993557,low_expression_risk_but_activity_validation_required
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,P54781,YMR015C,ERG5 CYP61 YMR015C YM9711.02C,C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5),1.14.19.41,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,B_exact_compound_context_no_enzyme_specificity,enzyme_class_support_only,no native exact enzyme found,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,0.3617787731630767,2.3002697761776276,-0.8363292003463245,0.1457708880835645,0.9035914512318627,8.00924264771784,Saccharomyces cerevisiae,endogenous_s_cerevisiae,plausible_p450_or_cyp,P450/CYP family but exact C10 substrate unvalidated,4,10.79268259087557,,,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,3,native_localization_if_endogenous,medium,3,Endogenous CYP/P450-related hit lowers expression risk but does not establish fatty-acid omega-hydroxylation.,2,oxygenase chemistry exists but native substrate class is distant from free/CoA C10 acids,native_yeast,5,"native S. cerevisiae sequence, but activity may not match terminal hydroxylation",17.903591,low_expression_risk_but_activity_validation_required
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,P21595,YDR402C,DIT2 CYP56 YDR402C D9509.20,Cytochrome P450-DIT2 (EC 1.14.14.-) (Cytochrome P450 56),1.14.14.-,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,no native exact enzyme found,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,-0.39225960335023335,0.40526621158391235,-1.589771115795146,0.025717508035605796,1.295265398874878,19.736284589117325,Saccharomyces cerevisiae,endogenous_s_cerevisiae,plausible_p450_or_cyp,P450/CYP family but exact C10 substrate unvalidated,4,10.632909723879552,,,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,3,native_localization_if_endogenous,medium,3,Endogenous CYP/P450-related hit lowers expression risk but does not establish fatty-acid omega-hydroxylation.,1,substrate class support is weak,native_yeast,5,"native S. cerevisiae sequence, but activity may not match terminal hydroxylation",17.295265,low_expression_risk_but_activity_validation_required
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,P14581,P14581,CYP4A7,Cytochrome P450 4A7; CYPIVA7; Cytochrome P450-KA-2; Lauric acid omega-hydroxylase; Long-chain fatty acid omega-monooxygenase,1.14.14.80,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,-0.740878324104657,0.18160243854283392,-1.31155730979804,0.04880256967921902,0.9002238314075306,7.94737729754078,Oryctolagus cuniculus,external_uniprot,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.289314971051237,UniProtKB P14581 FASTA,,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",5,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.900224,secondary_priority_high_activity_but_expression_risk
