route,step1_reaction,step1_entry,step1_origin,step1_family,step2_reaction,step2_entry,step2_origin,step2_family,mean_engineering_priority_score,route_risk_note
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.446550846438864,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.395634327771727,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.358631049024272,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.33045323756236,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.31685889968852,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,13.087015775928236,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,13.078386305310023,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,13.076615888991304,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,13.066263178000375,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,13.059535115707401,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,12.407621686699217,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,12.397383862327217,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,12.35670516803208,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,12.34646734366008,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,12.319701889284627,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,12.309464064912625,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,12.291524077822713,external hydroxylase requires heterologous expression and redox partner handling
