entry,gene_names,protein_names,ec_number,terminal_relevance
P00045,CYC7 CYP3 YEL039C,Cytochrome c isoform 2 (Iso-2-cytochrome c) (Cytochrome c hypoxic isoform),,possible_oxygenase_class_support
P07149,FAS1 YKL182W,Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)],1.3.1.9; 2.3.1.38; 2.3.1.39; 2.3.1.86; 3.1.2.14; 4.2.1.59,possible_thioesterase_class_support
P0CE41,HAP1 CYP1 YLR256W L9672.1,Heme-responsive zinc finger transcription factor HAP1 (CYP1 activatory protein) (Heme activator protein 1),,possible_oxygenase_class_support
P10614,ERG11 CYP51 YHR007C,Lanosterol 14-alpha demethylase CYP51 (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthetic protein 11) (Lanosterol C14-C32 lyase) (Sterol 14-alpha demethylase),1.14.14.154,possible_oxygenase_class_support
P14832,CPR1 CPH1 CYP1 SCC1 YDR155C YD8358.10C,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase),5.2.1.8,possible_oxygenase_class_support
P16603,NCP1 CPR1 NCPR1 PRD1 YHR042W,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),1.6.2.4,possible_oxygenase_class_support
P25719,CPR3 CYP3 YML078W,"Peptidyl-prolyl cis-trans isomerase C, mitochondrial (PPIase C) (EC 5.2.1.8) (Cyclophilin C) (PPI-III) (Rotamase C)",5.2.1.8,possible_oxygenase_class_support
P32476,ERG1 YGR175C,Squalene epoxidase ERG1 (SE) (EC 1.14.14.17) (Ergosterol biosynthetic protein 1) (Squalene monooxygenase ERG1),1.14.14.17,possible_oxygenase_class_support
P32571,DOA4 DOS1 MUT4 NPI2 SSV7 UBP4 YDR069C D4270 YD8554.02C YD9609.23C,Ubiquitin carboxyl-terminal hydrolase 4 (EC 3.4.19.12) (Deubiquitinating enzyme 4) (Ubiquitin thioesterase 4) (Ubiquitin-specific-processing protease 4) (Vacuole biogenesis protein SSV7),3.4.19.12,possible_thioesterase_class_support
P38071,ETR1 MRF1 MRF1' YBR026C YBR0310,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Mitochondrial respiratory function protein 1)",1.3.1.104,possible_thioesterase_class_support
P38169,BNA4 YBL098W YBL0828,Kynurenine 3-monooxygenase (EC 1.14.13.9) (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase),1.14.13.9,possible_oxygenase_class_support
P38237,UBP14 GID6 YBR058C YBR0515,Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Glucose-induced degradation protein 6) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14),3.4.19.12,possible_thioesterase_class_support
P38992,SUR2 SYR2 YDR297W D9740.8,Sphingolipid C4-hydroxylase SUR2 (EC 1.-.-.-) (Syringomycin response protein 2),1.-.-.-,possible_oxygenase_class_support
P39538,UBP12 YJL197W J0340,Ubiquitin carboxyl-terminal hydrolase 12 (EC 3.4.19.12) (Deubiquitinating enzyme 12) (Ubiquitin thioesterase 12) (Ubiquitin-specific-processing protease 12),3.4.19.12,possible_thioesterase_class_support
P40032,TPA1 YER049W,"Prolyl 3,4-dihydroxylase TPA1 (EC 1.14.11.-) (Termination and polyadenylation protein 1) (uS12 prolyl 3,4-dihydroxylase)",1.14.11.-,possible_oxygenase_class_support
P40453,UBP7 YIL156W,Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7),3.4.19.12,possible_thioesterase_class_support
P41735,CAT5 COQ7 YOR125C O3284 YOR3284C,"5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Catabolite repression protein 5) (Ubiquinone biosynthesis monooxygenase COQ7)",1.14.99.60,possible_oxygenase_class_support
P41903,TES1 PTE1 YJR019C J1456,Peroxisomal acyl-coenzyme A thioester hydrolase 1 (EC 3.1.2.2) (Peroxisomal long-chain acyl-CoA thioesterase 1),3.1.2.2,possible_thioesterase_class_support
P43558,OTU1 YFL044C,Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (OTU domain-containing protein 1),3.4.19.12,possible_thioesterase_class_support
P43593,UBP6 YFR010W,Ubiquitin carboxyl-terminal hydrolase 6 (EC 3.4.19.12) (Deubiquitinating enzyme 6) (Ubiquitin thioesterase 6) (Ubiquitin-specific-processing protease 6),3.4.19.12,possible_thioesterase_class_support
P47103,CPR7 YJR032W J1585,Peptidyl-prolyl cis-trans isomerase CYP7 (PPIase CYP7) (EC 5.2.1.8) (Rotamase CYP7),5.2.1.8,possible_oxygenase_class_support
P47120,LIA1 MMD1 YJR070C J1814,Deoxyhypusine hydroxylase (DOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase) (Ligand of eIF5A protein 1),1.14.99.29,possible_oxygenase_class_support
P50101,UBP15 YMR304W YM9952.06,Ubiquitin carboxyl-terminal hydrolase 15 (EC 3.4.19.12) (Deubiquitinating enzyme 15) (Ubiquitin thioesterase 15) (Ubiquitin-specific-processing protease 15),3.4.19.12,possible_thioesterase_class_support
P50102,UBP8 YMR223W YM9959.05,Ubiquitin carboxyl-terminal hydrolase 8 (EC 3.4.19.12) (Deubiquitinating enzyme 8) (Ubiquitin thioesterase 8) (Ubiquitin-specific-processing protease 8),3.4.19.12,possible_thioesterase_class_support
P53208,EAT1 YGR015C,Ethanol acetyltransferase 1 (EC 2.3.1.268) (Acetyl-CoA hydrolase) (EC 3.1.2.1) (Acetyl-CoA thioesterase) (Alcohol acetyltransferase) (AAT) (Ethyl acetate esterase) (EC 3.1.1.-),2.3.1.268; 3.1.1.-; 3.1.2.1,possible_thioesterase_class_support
P53318,COQ6 YGR255C G9165,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Ubiquinone C4-deaminase) (EC 3.5.-.-)",1.14.13.-; 3.5.-.-,possible_oxygenase_class_support
P53874,UBP10 DOT4 YNL186W N1619,Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Disrupter of telomere silencing protein 4) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10),3.4.19.12,possible_thioesterase_class_support
P54781,ERG5 CYP61 YMR015C YM9711.02C,C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5),1.14.19.41,possible_oxygenase_class_support
Q01476,UBP2 YOR124C O3281 YOR3281C,Ubiquitin carboxyl-terminal hydrolase 2 (EC 3.4.19.12) (Deubiquitinating enzyme 2) (Ubiquitin thioesterase 2) (Ubiquitin-specific-processing protease 2),3.4.19.12,possible_thioesterase_class_support
