model_metabolite_id,primary_name,formula,charge,structure,structure_status,reason_code,status,source,review
s_0001,(1->3)-beta-D-glucan,C6H10O5,0,,missing,mapped_source_has_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0002,(1->3)-beta-D-glucan,C6H10O5,0,,missing,mapped_source_has_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0003,(1->3)-beta-D-glucan,C6H10O5,0,,missing,mapped_source_has_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0004,(1->6)-beta-D-glucan,C6H10O5,0,,missing,mapped_source_has_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0006,"(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate",C7H8N5O8P2,-3,Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)O)CN2,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0007,(2E)-3-(methoxycarbonyl)pent-2-enedioic acid,C7H6O6,-2,COC(=O)C(=CC(=O)O)CC(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0008,"(2R,3R)-2,3-dihydroxy-3-methylpentanoate",C6H11O4,-1,CCC(C)(O)C(O)C(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0009,"(2R,3S)-3-isopropylmalate",C7H10O5,-2,CC(C)C(C(=O)[O-])C(O)C(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0010,(2S)-2-isopropyl-3-oxosuccinate,C7H8O5,-2,CC(C)C(C(=O)O)C(=O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0011,(2S)-2-isopropyl-3-oxosuccinate,C7H8O5,-2,CC(C)C(C(=O)O)C(=O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0012,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",C7H7O7,-3,CC(O)(C(=O)O)C(CC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0013,"(5S,6S)-di-HETE",C20H31O4,-1,CCCCCC=CCC=CC=CC=CC(O)C(O)CCCC(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0014,"(5S,6S)-di-HETE",C20H31O4,-1,CCCCCC=CCC=CC=CC=CC(O)C(O)CCCC(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0015,(N(omega)-L-arginino)succinic acid,C10H17N4O6,-1,NC(=NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0016,"(R)-2,3-dihydroxy-3-methylbutanoate",C5H9O4,-1,CC(C)(O)C(O)C(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0017,(R)-4'-phosphopantothenic acid,C9H15NO8P,-3,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
