model_reaction_id,reaction_name,mass_balance_status,charge_balance_status,missing_formula_status,structure_parse_status,external_mapping_status,manual_review_status,missing_formula_metabolites,unparsable_formula_metabolites
r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,unbalanced,balanced,absent,failed,not_required,required,,s_0709|s_0710
r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,unbalanced,balanced,absent,failed,not_required,required,,s_0709|s_0710
r_0003,"(R,R)-butanediol dehydrogenase",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,unbalanced,balanced,absent,failed,not_required,required,,s_0709|s_0710
r_0005,"1,3-beta-glucan synthase",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0006,"1,6-beta-glucan synthase",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0012,1-pyrroline-5-carboxylate dehydrogenase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",balanced,unbalanced,absent,not_applicable,not_required,required,,
r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0016,2-aceto-2-hydroxybutanoate synthase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0018,2-aminoadipate transaminase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0019,2-dehydropantoate 2-reductase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,balanced,balanced,absent,not_applicable,not_required,not_required,,
