model_reaction_id,reaction_name,formula_balanced,charge_balanced,issue_categories,remediation_action,missing_formula_metabolites,unparsable_formula_metabolites,element_imbalance,charge_imbalance
r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0709|s_0710,"{""H"": -2.0}",0.0
r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0709|s_0710,"{""H"": -2.0}",0.0
r_0003,"(R,R)-butanediol dehydrogenase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0709|s_0710,"{""H"": -2.0}",0.0
r_0005,"1,3-beta-glucan synthase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0006,"1,6-beta-glucan synthase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0012,1-pyrroline-5-carboxylate dehydrogenase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",True,False,,requires_manual_balance_review,,,{},4.0
r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0016,2-aceto-2-hydroxybutanoate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0018,2-aminoadipate transaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0019,2-dehydropantoate 2-reductase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0023,2-isopropylmalate hydratase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0024,2-isopropylmalate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0025,2-isopropylmalate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0026,2-keto-4-methylthiobutyrate transamination,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0027,2-methylcitrate dehydratase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0028,2-methylcitrate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0032,"3',5'-bisphosphate nucleotidase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
