pool,model_reaction_id,reaction_uid,fallback_reason,orfs,model_equation
reference_only,r_0029,MODEL_RXN:0000025,fallback_equation,,s_0010 + s_0794 --> s_0291 + s_0456
reference_only,r_0030,MODEL_RXN:0000026,fallback_equation,,s_0011 + s_0799 --> s_0292 + s_0460
reference_only,r_0070,MODEL_RXN:0000054,fallback_equation,,s_0290 + s_0807 --> s_0287 + s_0532 + s_0799
reference_only,r_0094,MODEL_RXN:0000077,fallback_equation,,s_0794 + s_0955 + s_1368 --> s_0352 + s_0456 + s_0529
reference_only,r_0200,MODEL_RXN:0000177,fallback_equation,,s_0418 + s_0803 + s_1275 --> s_0419 + s_0837 + s_1151
reference_only,r_0461,MODEL_RXN:0000356,fallback_equation,,s_0189 + s_0943 --> s_0633 + s_1311
reference_only,r_0465,MODEL_RXN:0000360,fallback_equation,,s_0412 + s_0803 --> s_0419 + s_0557
reference_only,r_0500,MODEL_RXN:0000389,fallback_equation,,s_0529 + s_0952 --> s_0373 + s_1003
reference_only,r_1008,MODEL_RXN:0000776,fallback_equation,,s_0517 <=> s_1504
reference_only,r_1009,MODEL_RXN:0000777,fallback_equation,,s_0516 <=> s_1503
reference_only,r_1097,MODEL_RXN:0000849,fallback_equation,,s_0035 <=> s_0036
reference_only,r_1098,MODEL_RXN:0000850,fallback_equation,,s_0172 --> s_0173
reference_only,r_1100,MODEL_RXN:0000852,fallback_equation,,s_0212 <=> s_0213
reference_only,r_1103,MODEL_RXN:0000855,fallback_equation,,s_0320 <=> s_0319
reference_only,r_1137,MODEL_RXN:0000887,fallback_equation,,s_0025 + s_0794 --> s_0027 + s_0799
reference_only,r_1138,MODEL_RXN:0000888,fallback_equation,,s_0025 + s_1401 <=> s_0027 + s_1399
reference_only,r_1164,MODEL_RXN:0000897,fallback_equation,,s_0720 <=> s_0719
reference_only,r_1174,MODEL_RXN:0000907,fallback_equation,,s_0773 --> s_0774
reference_only,r_1180,MODEL_RXN:0000913,fallback_equation,,s_0927 --> s_0928
reference_only,r_1181,MODEL_RXN:0000914,fallback_equation,,s_0935 --> s_0936
reference_only,r_1182,MODEL_RXN:0000915,fallback_equation,,s_0943 <=> s_0945
reference_only,r_1242,MODEL_RXN:0000972,fallback_equation,,s_1311 <=> s_1313
reference_only,r_1243,MODEL_RXN:0000973,fallback_equation,,s_1316 --> s_1317
reference_only,r_1268,MODEL_RXN:0000995,fallback_equation,,s_1471 <=> s_1472
reference_only,r_1542,MODEL_RXN:0001036,fallback_equation,,s_0003 --> 
reference_only,r_1545,MODEL_RXN:0001038,fallback_equation,,s_0022 --> 
reference_only,r_1546,MODEL_RXN:0001039,fallback_equation,,s_0026 --> 
reference_only,r_1547,MODEL_RXN:0001040,fallback_equation,,s_0029 --> 
reference_only,r_1548,MODEL_RXN:0001041,fallback_equation,,s_0032 --> 
reference_only,r_1549,MODEL_RXN:0001042,fallback_equation,,s_0036 --> 
reference_only,r_1550,MODEL_RXN:0001043,fallback_equation,,s_0058 --> 
reference_only,r_1551,MODEL_RXN:0001044,fallback_equation,,s_0064 --> 
reference_only,r_1552,MODEL_RXN:0001045,fallback_equation,,s_0067 --> 
reference_only,r_1553,MODEL_RXN:0001046,fallback_equation,,s_0080 --> 
reference_only,r_1554,MODEL_RXN:0001047,fallback_equation,,s_0084 --> 
reference_only,r_1560,MODEL_RXN:0001048,fallback_equation,,s_1156 <=> s_1157
reference_only,r_1562,MODEL_RXN:0001049,fallback_equation,,s_0127 <=> s_0126
reference_only,r_1563,MODEL_RXN:0001050,fallback_equation,,s_0133 --> 
reference_only,r_1564,MODEL_RXN:0001051,fallback_equation,,s_0135 --> 
reference_only,r_1565,MODEL_RXN:0001052,fallback_equation,,s_0137 --> 
reference_only,r_1566,MODEL_RXN:0001053,fallback_equation,,s_0139 --> 
reference_only,r_1567,MODEL_RXN:0001054,fallback_equation,,s_0349 <=> s_0350
reference_only,r_1568,MODEL_RXN:0001055,fallback_equation,,s_0149 <=> s_0150
reference_only,r_1572,MODEL_RXN:0001056,fallback_equation,,s_0163 --> 
reference_only,r_1573,MODEL_RXN:0001057,fallback_equation,,s_0162 <=> s_0163
reference_only,r_1575,MODEL_RXN:0001059,fallback_equation,,s_0169 <=> s_0170
reference_only,r_1576,MODEL_RXN:0001060,fallback_equation,,s_0169 <=> s_0171
reference_only,r_1577,MODEL_RXN:0001061,fallback_equation,,s_0167 --> 
reference_only,r_1578,MODEL_RXN:0001062,fallback_equation,,s_0166 <=> s_0167
reference_only,r_1579,MODEL_RXN:0001063,fallback_equation,,s_0166 <=> s_0168
reference_only,r_1580,MODEL_RXN:0001064,fallback_equation,,s_0170 --> 
reference_only,r_1581,MODEL_RXN:0001065,fallback_equation,,s_0173 --> 
reference_only,r_1582,MODEL_RXN:0001066,fallback_equation,,s_0937 <=> s_0938
reference_only,r_1583,MODEL_RXN:0001067,fallback_equation,,s_0937 <=> s_0939
reference_only,r_1586,MODEL_RXN:0001069,fallback_equation,,s_0181 --> 
reference_only,r_1587,MODEL_RXN:0001070,fallback_equation,,s_0180 <=> s_0183
reference_only,r_1588,MODEL_RXN:0001071,fallback_equation,,s_0181 <=> s_0180
reference_only,r_1589,MODEL_RXN:0001072,fallback_equation,,s_0186 --> 
reference_only,r_1590,MODEL_RXN:0001073,fallback_equation,,s_0186 <=> s_0185
reference_only,r_1591,MODEL_RXN:0001074,fallback_equation,,s_0187 <=> s_0185
reference_only,r_1595,MODEL_RXN:0001075,fallback_equation,,s_0010 <=> s_0011
reference_only,r_1596,MODEL_RXN:0001076,fallback_equation,,s_0056 <=> s_0060
reference_only,r_1597,MODEL_RXN:0001077,fallback_equation,,s_0058 <=> s_0056
reference_only,r_1598,MODEL_RXN:0001078,fallback_equation,,s_0235 --> 
reference_only,r_1599,MODEL_RXN:0001079,fallback_equation,,s_0234 <=> s_0235
reference_only,r_1600,MODEL_RXN:0001080,fallback_equation,,s_0234 <=> s_0236
reference_only,r_1601,MODEL_RXN:0001081,fallback_equation,,s_0215 <=> s_0216
reference_only,r_1604,MODEL_RXN:0001083,fallback_equation,,s_0272 --> 
reference_only,r_1605,MODEL_RXN:0001084,fallback_equation,,s_0271 <=> s_0272
reference_only,r_1606,MODEL_RXN:0001085,fallback_equation,,s_0271 <=> s_0273
reference_only,r_1607,MODEL_RXN:0001086,fallback_equation,,s_0274 <=> s_0275
reference_only,r_1608,MODEL_RXN:0001087,fallback_equation,,s_0734 <=> s_0738
reference_only,r_1609,MODEL_RXN:0001088,fallback_equation,,s_0282 <=> s_0283
reference_only,r_1610,MODEL_RXN:0001089,fallback_equation,,s_0282 <=> s_0284
reference_only,r_1611,MODEL_RXN:0001090,fallback_equation,,s_0286 <=> s_0287
reference_only,r_1613,MODEL_RXN:0001091,fallback_equation,,s_0423 + s_0803 --> s_0386 + s_1322
reference_only,r_1618,MODEL_RXN:0001096,fallback_equation,,s_0654 + s_0803 --> s_0138 + s_1322
reference_only,r_1620,MODEL_RXN:0001098,fallback_equation,,s_0803 + s_1565 --> s_1322 + s_1563
reference_only,r_1621,MODEL_RXN:0001099,fallback_equation,,s_0316 --> 
reference_only,r_1622,MODEL_RXN:0001100,fallback_equation,,s_0315 <=> s_0317
reference_only,r_1625,MODEL_RXN:0001103,fallback_equation,,s_0320 --> 
reference_only,r_1627,MODEL_RXN:0001104,fallback_equation,,s_0342 --> 
reference_only,r_1629,MODEL_RXN:0001106,fallback_equation,,s_0354 --> 
reference_only,r_1630,MODEL_RXN:0001107,fallback_equation,,s_0358 --> 
reference_only,r_1631,MODEL_RXN:0001108,fallback_equation,,s_0360 --> 
reference_only,r_1632,MODEL_RXN:0001109,fallback_equation,,s_0361 <=> s_0359
reference_only,r_1633,MODEL_RXN:0001110,fallback_equation,,s_0360 <=> s_0359
reference_only,r_1634,MODEL_RXN:0001111,fallback_equation,,s_0364 --> 
reference_only,r_1635,MODEL_RXN:0001112,fallback_equation,,s_0362 <=> s_0366
reference_only,r_1637,MODEL_RXN:0001113,fallback_equation,,s_0373 <=> s_0377
reference_only,r_1638,MODEL_RXN:0001114,fallback_equation,,s_1237 --> s_1235
reference_only,r_1639,MODEL_RXN:0001115,fallback_equation,,s_0384 --> 
reference_only,r_1640,MODEL_RXN:0001116,fallback_equation,,s_0383 <=> s_0385
reference_only,r_1641,MODEL_RXN:0001117,fallback_equation,,s_0391 --> 
reference_only,r_1643,MODEL_RXN:0001119,fallback_equation,,s_0387 --> 
reference_only,r_1644,MODEL_RXN:0001120,fallback_equation,,s_0394 <=> s_0398
reference_only,r_1645,MODEL_RXN:0001121,fallback_equation,,s_0394 <=> s_0395
reference_only,r_1647,MODEL_RXN:0001122,fallback_equation,,s_0180 <=> s_0184
reference_only,r_1648,MODEL_RXN:0001123,fallback_equation,,s_0406 --> 
reference_only,r_1649,MODEL_RXN:0001124,fallback_equation,,s_0408 --> 
reference_only,r_1650,MODEL_RXN:0001125,fallback_equation,,s_1521 --> 
reference_only,r_1651,MODEL_RXN:0001126,fallback_equation,,s_0413 --> 
reference_only,r_1652,MODEL_RXN:0001127,fallback_equation,,s_0067 + s_0180 <=> s_0066 + s_0181
reference_only,r_1654,MODEL_RXN:0001128,fallback_equation,,s_0420 <=> 
