source,model_reaction_id,reaction_name,model_equation,formula_balanced,charge_balanced,missing_formula_metabolites,unparsable_formula_metabolites,missing_charge_metabolites,element_imbalance,charge_imbalance
Yeast-MetaTwin,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0025 + 2 s_0709 --> 2 s_0710 + s_1399,False,True,,s_0709|s_0710,,"{""H"": -2.0}",0.0
Yeast-MetaTwin,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,s_0027 + 2 s_0709 --> 2 s_0710 + s_1401,False,True,,s_0709|s_0710,,"{""H"": -2.0}",0.0
Yeast-MetaTwin,r_0003,"(R,R)-butanediol dehydrogenase",s_0035 + s_1198 <=> s_0020 + s_0794 + s_1203,True,True,,,,{},0.0
Yeast-MetaTwin,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,s_0063 + 2 s_0709 --> 2 s_0710 + s_1399,False,True,,s_0709|s_0710,,"{""H"": -2.0}",0.0
Yeast-MetaTwin,r_0005,"1,3-beta-glucan synthase",s_1543 --> s_0001 + s_0794 + s_1538,True,True,,,,{},0.0
Yeast-MetaTwin,r_0006,"1,6-beta-glucan synthase",s_1543 --> s_0004 + s_0794 + s_1538,True,True,,,,{},0.0
Yeast-MetaTwin,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,s_0077 --> s_0312,True,True,,,,{},0.0
Yeast-MetaTwin,r_0012,1-pyrroline-5-carboxylate dehydrogenase,s_0119 + 2 s_0807 + s_1200 --> s_0799 + s_0993 + s_1205,True,True,,,,{},0.0
Yeast-MetaTwin,r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",s_0311 + 3 s_0803 --> s_0294 + s_0722 + 6 s_0794 + s_1322,True,False,,,,{},4.0
Yeast-MetaTwin,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",s_0142 + s_0794 + s_0803 --> s_0313 + s_0419,True,True,,,,{},0.0
Yeast-MetaTwin,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",s_0141 + s_0794 + s_1212 --> s_0142 + s_1207,True,True,,,,{},0.0
