seq_id,seq_hash,seq_length,cache_file
YDL174C,fb2aa34bacd72e0f,587,YDL174C_fb2aa34bacd72e0f.npy
YEL071W,4e34ae29ad78a4ec,496,YEL071W_4e34ae29ad78a4ec.npy
YDL178W,833191dd3c46bd19,530,YDL178W_833191dd3c46bd19.npy
YAL060W,951fb8f085f63aa3,382,YAL060W_951fb8f085f63aa3.npy
YML054C,5872b9939ee3ecd5,591,YML054C_5872b9939ee3ecd5.npy
YPR165W,fe7818b00c5338f1,209,YPR165W_fe7818b00c5338f1.npy
YIL020C,1b9a3104ef03268b,261,YIL020C_1b9a3104ef03268b.npy
YHR037W,4e12cc548076e87e,575,YHR037W_4e12cc548076e87e.npy
YEL038W,1aa69773d075327f,227,YEL038W_1aa69773d075327f.npy
YMR009W,7dc1559bee3eb2d4,179,YMR009W_7dc1559bee3eb2d4.npy
YOL066C,bf6f0060aee71a8f,591,YOL066C_bf6f0060aee71a8f.npy
YBR153W,5adf79a725fc9b64,244,YBR153W_5adf79a725fc9b64.npy
YMR108W,ab9b465ac089193d,687,YMR108W_ab9b465ac089193d.npy
YNL256W,57a43e14f8190a12,824,YNL256W_57a43e14f8190a12.npy
YGL202W,cde3811ac1d6fe68,500,YGL202W_cde3811ac1d6fe68.npy
YJL060W,d0312c623eb1862b,444,YJL060W_d0312c623eb1862b.npy
YHR063C,682bbf41b3b48963,379,YHR063C_682bbf41b3b48963.npy
YBR249C,42faa52dda7c6445,370,YBR249C_42faa52dda7c6445.npy
YDR035W,70cf4e940ca283a9,370,YDR035W_70cf4e940ca283a9.npy
YGR255C,116dc4589347016c,479,YGR255C_116dc4589347016c.npy
YML110C,41baf7e3a4e7d54f,307,YML110C_41baf7e3a4e7d54f.npy
YOL096C,02ad128134392daa,312,YOL096C_02ad128134392daa.npy
YOR125C,c74d6245901761c7,233,YOR125C_c74d6245901761c7.npy
YGL009C,a65e585f6d4c2f54,779,YGL009C_a65e585f6d4c2f54.npy
YNL104C,d15ca4ad18b90a83,619,YNL104C_d15ca4ad18b90a83.npy
YOR108W,d5fa3af09c3a6e87,604,YOR108W_d5fa3af09c3a6e87.npy
YHR137W,37f71ebcdc3127c9,513,YHR137W_37f71ebcdc3127c9.npy
YHR208W,c50715023e9295db,393,YHR208W_c50715023e9295db.npy
YJR148W,c53c6aeb691fcd23,376,YJR148W_c53c6aeb691fcd23.npy
YDR234W,9e79c1614b094daa,693,YDR234W_9e79c1614b094daa.npy
YPR001W,fcb8b7111e30dee0,486,YPR001W_fcb8b7111e30dee0.npy
YOL064C,15796657d5760fb3,357,YOL064C_15796657d5760fb3.npy
YGL248W,59e8a1e00b65051b,369,YGL248W_59e8a1e00b65051b.npy
YOR360C,3879486bbd92071b,526,YOR360C_3879486bbd92071b.npy
YDR487C,92dbf8199154c75c,208,YDR487C_92dbf8199154c75c.npy
YBR265W,3a15cc39da09e2ef,320,YBR265W_3a15cc39da09e2ef.npy
YDR376W,6ac77d2793e2cefb,493,YDR376W_6ac77d2793e2cefb.npy
YDR538W,b59789d997f38b24,242,YDR538W_b59789d997f38b24.npy
YDR539W,f05dbbdc4cf14abe,503,YDR539W_f05dbbdc4cf14abe.npy
YLR231C,6ac0a28b5aa3f297,453,YLR231C_6ac0a28b5aa3f297.npy
YKR009C,5205b1c963ca3beb,900,YKR009C_5205b1c963ca3beb.npy
YJR025C,e9d28566920c8a12,177,YJR025C_e9d28566920c8a12.npy
YER175C,432137ac42d508e0,299,YER175C_432137ac42d508e0.npy
YCL018W,085719293e2dad55,364,YCL018W_085719293e2dad55.npy
YGR087C,fc2e5bb92d746c2c,563,YGR087C_fc2e5bb92d746c2c.npy
YLR044C,bc28ae4d61606e48,563,YLR044C_bc28ae4d61606e48.npy
YLR134W,8c49bf5c1179c79d,563,YLR134W_8c49bf5c1179c79d.npy
YBR176W,f482667b82eb2ff8,312,YBR176W_f482667b82eb2ff8.npy
YDL080C,8fa926b887275770,609,YDL080C_8fa926b887275770.npy
YNR033W,71e00b7369c754d8,787,YNR033W_71e00b7369c754d8.npy
YMR289W,ba690902a772cdbe,374,YMR289W_ba690902a772cdbe.npy
YGR019W,2e7388d1805fe0bf,471,YGR019W_2e7388d1805fe0bf.npy
YCR053W,c03e2dd6a033e252,514,YCR053W_c03e2dd6a033e252.npy
YOR163W,d61da6372c01ecbf,188,YOR163W_d61da6372c01ecbf.npy
YLR017W,e806d44a44abf447,337,YLR017W_e806d44a44abf447.npy
YOR155C,55d8d62429bfa84f,450,YOR155C_55d8d62429bfa84f.npy
YGL125W,691a708da6f1e1a4,600,YGL125W_691a708da6f1e1a4.npy
YPL023C,a3205976d04095ce,657,YPL023C_a3205976d04095ce.npy
YDR232W,768b022dae88c0dc,548,YDR232W_768b022dae88c0dc.npy
YER183C,c64f538183f7988e,211,YER183C_c64f538183f7988e.npy
YER091C,39698debdce7c922,767,YER091C_39698debdce7c922.npy
YJR024C,ba2b6c82247f0dd6,244,YJR024C_ba2b6c82247f0dd6.npy
YPR118W,54e48d891f50521a,411,YPR118W_54e48d891f50521a.npy
YIL107C,117e0d0036822bbf,827,YIL107C_117e0d0036822bbf.npy
YOL136C,5094604a3cf7939f,397,YOL136C_5094604a3cf7939f.npy
YGR248W,c5528dcdbed5639f,255,YGR248W_c5528dcdbed5639f.npy
YHR163W,1b836a7ff0cafcf3,249,YHR163W_1b836a7ff0cafcf3.npy
YLR355C,92bf1ad0b0875b6e,395,YLR355C_92bf1ad0b0875b6e.npy
YIL160C,c5acd0df6ad2275c,417,YIL160C_c5acd0df6ad2275c.npy
YPL028W,536e45b81a787570,398,YPL028W_536e45b81a787570.npy
YDL141W,06958052ce3fa225,690,YDL141W_06958052ce3fa225.npy
YBL015W,89a861e0402e658e,526,YBL015W_89a861e0402e658e.npy
YAL054C,15354f336a64cc88,713,YAL054C_15354f336a64cc88.npy
YLR153C,9681fa7c587225c7,683,YLR153C_9681fa7c587225c7.npy
YER069W,14db0060ca95fcbc,863,YER069W_14db0060ca95fcbc.npy
